gene_symbol,Previous_Symbol,Updated_Symbol,Labonte_genes,Ding_genes,Ramaker_genes
PERM1,C1orf170,PERM1,NA,NA,PERM1
HES4,BHLHB42,HES4,HES4,HES4,HES4
ISG15,G1P2,ISG15,ISG15,ISG15,ISG15
ISG15,IFI15,ISG15,ISG15,ISG15,ISG15
ISG15,IMD38,ISG15,ISG15,ISG15,ISG15
ISG15,IP17,ISG15,ISG15,ISG15,ISG15
ISG15,UCRP,ISG15,ISG15,ISG15,ISG15
ISG15,HUCRP,ISG15,ISG15,ISG15,ISG15
AGRN,AGRIN,AGRN,AGRN,AGRN,AGRN
AGRN,CMS8,AGRN,AGRN,AGRN,AGRN
AGRN,CMSPPD,AGRN,AGRN,AGRN,AGRN
RNF223,-,RNF223,NA,NA,RNF223
C1orf159,-,C1orf159,C1orf159,C1orf159,C1orf159
TTLL10,TTLL5,TTLL10,TTLL5,TTLL5,TTLL10
TNFRSF18,AITR,TNFRSF18,NA,NA,TNFRSF18
TNFRSF18,CD357,TNFRSF18,NA,NA,TNFRSF18
TNFRSF18,ENERGEN,TNFRSF18,NA,NA,TNFRSF18
TNFRSF18,GITR,TNFRSF18,NA,NA,TNFRSF18
TNFRSF18,GITR-D,TNFRSF18,NA,NA,TNFRSF18
TNFRSF4,ACT35,TNFRSF4,NA,NA,TNFRSF4
TNFRSF4,CD134,TNFRSF4,NA,NA,TNFRSF4
TNFRSF4,IMD16,TNFRSF4,NA,NA,TNFRSF4
TNFRSF4,OX40,TNFRSF4,NA,NA,TNFRSF4
TNFRSF4,TXGP1L,TNFRSF4,NA,NA,TNFRSF4
SDF4,CAB45,SDF4,SDF4,SDF4,SDF4
SDF4,SDF-4,SDF4,SDF4,SDF4,SDF4
B3GALT6,EDSP2,B3GALT6,B3GALT6,B3GALT6,B3GALT6
B3GALT6,EDSSPD2,B3GALT6,B3GALT6,B3GALT6,B3GALT6
B3GALT6,SEMDJL1,B3GALT6,B3GALT6,B3GALT6,B3GALT6
B3GALT6,BETA3GALT6,B3GALT6,B3GALT6,B3GALT6,B3GALT6
FAM132A,NA,C1QTNF12,NA,NA,FAM132A
UBE2J2,NCUBE-2,UBE2J2,UBE2J2,UBE2J2,UBE2J2
UBE2J2,NCUBE2,UBE2J2,UBE2J2,UBE2J2,UBE2J2
UBE2J2,PRO2121,UBE2J2,UBE2J2,UBE2J2,UBE2J2
SCNN1D,ENACD,SCNN1D,SCNN1D,SCNN1D,SCNN1D
SCNN1D,ENACDELTA,SCNN1D,SCNN1D,SCNN1D,SCNN1D
SCNN1D,SCNED,SCNN1D,SCNN1D,SCNN1D,SCNN1D
SCNN1D,DNACH,SCNN1D,SCNN1D,SCNN1D,SCNN1D
ACAP3,CENTB5,ACAP3,ACAP3,NA,ACAP3
PUSL1,-,PUSL1,PUSL1,PUSL1,PUSL1
CPSF3L,NA,INTS11,INTS11,CPSF3L,CPSF3L
CPTP,GLTPD1,CPTP,CPTP,GLTPD1,CPTP
TAS1R3,T1R3,TAS1R3,NA,NA,TAS1R3
DVL1,DRS2,DVL1,DVL1,DVL1,DVL1
DVL1,DVL,DVL1,DVL1,DVL1,DVL1
DVL1,DVL1L1,DVL1,DVL1,DVL1,DVL1
DVL1,DVL1P1,DVL1,DVL1,DVL1,DVL1
MXRA8,ASP3,MXRA8,MXRA8,NA,MXRA8
AURKAIP1,AIP,AURKAIP1,AURKAIP1,AURKAIP1,AURKAIP1
AURKAIP1,AKIP,AURKAIP1,AURKAIP1,AURKAIP1,AURKAIP1
AURKAIP1,MRP-S38,AURKAIP1,AURKAIP1,AURKAIP1,AURKAIP1
CCNL2,ANIA-6B,CCNL2,CCNL2,CCNL2,CCNL2
CCNL2,CCNM,CCNL2,CCNL2,CCNL2,CCNL2
CCNL2,CCNS,CCNL2,CCNL2,CCNL2,CCNL2
CCNL2,HCLA-ISO,CCNL2,CCNL2,CCNL2,CCNL2
CCNL2,HLA-ISO,CCNL2,CCNL2,CCNL2,CCNL2
CCNL2,PCEE,CCNL2,CCNL2,CCNL2,CCNL2
CCNL2,SB138,CCNL2,CCNL2,CCNL2,CCNL2
MRPL20,L20MT,MRPL20,MRPL20,MRPL20,MRPL20
MRPL20,MRP-L20,MRPL20,MRPL20,MRPL20,MRPL20
ANKRD65,-,ANKRD65,ANKRD65,NA,ANKRD65
TMEM88B,-,TMEM88B,NA,NA,TMEM88B
VWA1,WARP,VWA1,VWA1,VWA1,VWA1
ATAD3C,-,ATAD3C,ATAD3C,NA,ATAD3C
ATAD3B,AAA-TOB3,ATAD3B,ATAD3B,ATAD3B,ATAD3B
ATAD3B,TOB3,ATAD3B,ATAD3B,ATAD3B,ATAD3B
ATAD3A,HAYOS,ATAD3A,ATAD3A,ATAD3A,ATAD3A
TMEM240,C1orf70,TMEM240,TMEM240,NA,TMEM240
TMEM240,SCA21,TMEM240,TMEM240,NA,TMEM240
SSU72,HSPC182,SSU72,SSU72,SSU72,SSU72
SSU72,PNAS-120,SSU72,SSU72,SSU72,SSU72
CDK11A,CDC2L2,CDK11A,CDK11A,NA,CDK11A
CDK11A,CDC2L3,CDK11A,CDK11A,NA,CDK11A
CDK11A,CDK11-P110,CDK11A,CDK11A,NA,CDK11A
CDK11A,CDK11-P46,CDK11A,CDK11A,NA,CDK11A
CDK11A,CDK11-P58,CDK11A,CDK11A,NA,CDK11A
CDK11A,PITSLRE,CDK11A,CDK11A,NA,CDK11A
CDK11A,P58GTA,CDK11A,CDK11A,NA,CDK11A
SLC35E2,NA,SLC35E2A,SLC35E2A,NA,SLC35E2
NADK,DJ283E3.1,NADK,NADK,NADK,NADK
GNB1,MRD42,GNB1,GNB1,GNB1,GNB1
CALML6,CAGLP,CALML6,NA,NA,CALML6
TMEM52,-,TMEM52,NA,NA,TMEM52
CFAP74,C1orf222,CFAP74,CFAP74,C1orf222,CFAP74
CFAP74,C1orf222,CFAP74,CFAP74,KIAA1751,CFAP74
CFAP74,KIAA1751,CFAP74,CFAP74,C1orf222,CFAP74
CFAP74,KIAA1751,CFAP74,CFAP74,KIAA1751,CFAP74
PRKCZ,PKC-ZETA,PRKCZ,PRKCZ,PRKCZ,PRKCZ
PRKCZ,PKC2,PRKCZ,PRKCZ,PRKCZ,PRKCZ
LOC100506504,NA,LOC100506504,NA,NA,NA
C1orf86,NA,FAAP20,FAAP20,C1orf86,FAAP20
SKI,SGS,SKI,SKI,SKI,SKI
SKI,SKV,SKI,SKI,SKI,SKI
MORN1,-,MORN1,MORN1,NA,MORN1
RER1,-,RER1,RER1,RER1,RER1
PEX10,NALD,PEX10,PEX10,PEX10,PEX10
PEX10,PBD6A,PEX10,PEX10,PEX10,PEX10
PEX10,PBD6B,PEX10,PEX10,PEX10,PEX10
PEX10,RNF69,PEX10,PEX10,PEX10,PEX10
PLCH2,PLC-L4,PLCH2,PLCH2,PLCH2,PLCH2
PLCH2,PLC-ETA2,PLCH2,PLCH2,PLCH2,PLCH2
PLCH2,PLCL4,PLCH2,PLCH2,PLCH2,PLCH2
PLCH2,PLCETA2,PLCH2,PLCH2,PLCH2,PLCH2
PANK4,-,PANK4,PANK4,PANK4,PANK4
HES5,BHLHB38,HES5,HES5,HES5,HES5
TNFRSF14,ATAR,TNFRSF14,TNFRSF14,TNFRSF14,TNFRSF14
TNFRSF14,CD270,TNFRSF14,TNFRSF14,TNFRSF14,TNFRSF14
TNFRSF14,HVEA,TNFRSF14,TNFRSF14,TNFRSF14,TNFRSF14
TNFRSF14,HVEM,TNFRSF14,TNFRSF14,TNFRSF14,TNFRSF14
TNFRSF14,LIGHTR,TNFRSF14,TNFRSF14,TNFRSF14,TNFRSF14
TNFRSF14,TR2,TNFRSF14,TNFRSF14,TNFRSF14,TNFRSF14
FAM213B,NA,PRXL2B,PRXL2B,NA,FAM213B
MMEL1,MMEL2,MMEL1,NA,NA,MMEL1
MMEL1,NEP2,MMEL1,NA,NA,MMEL1
MMEL1,NEPII,MMEL1,NA,NA,MMEL1
MMEL1,NL1,MMEL1,NA,NA,MMEL1
MMEL1,NL2,MMEL1,NA,NA,MMEL1
MMEL1,SEP,MMEL1,NA,NA,MMEL1
TTC34,-,TTC34,TTC34,NA,TTC34
ACTRT2,ARPM2,ACTRT2,NA,NA,ACTRT2
ACTRT2,ARPT2,ACTRT2,NA,NA,ACTRT2
ACTRT2,ARP-T2,ACTRT2,NA,NA,ACTRT2
ACTRT2,HARPM2,ACTRT2,NA,NA,ACTRT2
PRDM16,CMD1LL,PRDM16,PRDM16,NA,PRDM16
PRDM16,KMT8F,PRDM16,PRDM16,NA,PRDM16
PRDM16,LVNC8,PRDM16,PRDM16,NA,PRDM16
PRDM16,MEL1,PRDM16,PRDM16,NA,PRDM16
PRDM16,PFM13,PRDM16,PRDM16,NA,PRDM16
ARHGEF16,GEF16,ARHGEF16,ARHGEF16,ARHGEF16,ARHGEF16
ARHGEF16,NBR,ARHGEF16,ARHGEF16,ARHGEF16,ARHGEF16
MEGF6,EGFL3,MEGF6,MEGF6,NA,MEGF6
TPRG1L,FAM79A,TPRG1L,TPRG1L,TPRG1L,TPRG1L
TPRG1L,H-MOVER,TPRG1L,TPRG1L,TPRG1L,TPRG1L
TPRG1L,MOVER,TPRG1L,TPRG1L,TPRG1L,TPRG1L
WRAP73,WDR8,WRAP73,WRAP73,WDR8,WRAP73
TP73,P73,TP73,NA,NA,TP73
CCDC27,-,CCDC27,NA,NA,CCDC27
SMIM1,VEL,SMIM1,NA,NA,SMIM1
LRRC47,-,LRRC47,LRRC47,LRRC47,LRRC47
CEP104,CFAP256,CEP104,CEP104,KIAA0562,CEP104
CEP104,GLYBP,CEP104,CEP104,KIAA0562,CEP104
CEP104,JBTS25,CEP104,CEP104,KIAA0562,CEP104
CEP104,KIAA0562,CEP104,CEP104,KIAA0562,CEP104
CEP104,ROC22,CEP104,CEP104,KIAA0562,CEP104
DFFB,CAD,DFFB,DFFB,DFFB,DFFB
DFFB,CPAN,DFFB,DFFB,DFFB,DFFB
DFFB,DFF-40,DFFB,DFFB,DFFB,DFFB
DFFB,DFF2,DFFB,DFFB,DFFB,DFFB
DFFB,DFF40,DFFB,DFFB,DFFB,DFFB
C1orf174,-,C1orf174,C1orf174,NA,C1orf174
AJAP1,MOT8,AJAP1,AJAP1,AJAP1,AJAP1
AJAP1,SHREW-1,AJAP1,AJAP1,AJAP1,AJAP1
AJAP1,SHREW1,AJAP1,AJAP1,AJAP1,AJAP1
NPHP4,POC10,NPHP4,NPHP4,NPHP4,NPHP4
NPHP4,SLSN4,NPHP4,NPHP4,NPHP4,NPHP4
KCNAB2,AKR6A5,KCNAB2,KCNAB2,KCNAB2,KCNAB2
KCNAB2,HKVBETA2,KCNAB2,KCNAB2,KCNAB2,KCNAB2
KCNAB2,HKVBETA2.1,KCNAB2,KCNAB2,KCNAB2,KCNAB2
KCNAB2,HKVBETA2.2,KCNAB2,KCNAB2,KCNAB2,KCNAB2
KCNAB2,KCNA2B,KCNAB2,KCNAB2,KCNAB2,KCNAB2
KCNAB2,KV-BETA-2,KCNAB2,KCNAB2,KCNAB2,KCNAB2
CHD5,CHD-5,CHD5,CHD5,CHD5,CHD5
RPL22,EAP,RPL22,RPL22,RPL22,RPL22
RPL22,HBP15,RPL22,RPL22,RPL22,RPL22
RPL22,HBP15/L22,RPL22,RPL22,RPL22,RPL22
RPL22,L22,RPL22,RPL22,RPL22,RPL22
RNF207,C1orf188,RNF207,RNF207,NA,RNF207
ICMT,HSTE14,ICMT,ICMT,ICMT,ICMT
ICMT,MST098,ICMT,ICMT,ICMT,ICMT
ICMT,MSTP098,ICMT,ICMT,ICMT,ICMT
ICMT,PCCMT,ICMT,ICMT,ICMT,ICMT
ICMT,PCMT,ICMT,ICMT,ICMT,ICMT
ICMT,PPMT,ICMT,ICMT,ICMT,ICMT
HES3,BHLHB43,HES3,NA,NA,HES3
GPR153,PGR1,GPR153,GPR153,GPR153,GPR153
ACOT7,ACH1,ACOT7,ACOT7,ACOT7,ACOT7
ACOT7,ACT,ACOT7,ACOT7,ACOT7,ACOT7
ACOT7,BACH,ACOT7,ACOT7,ACOT7,ACOT7
ACOT7,CTE-II,ACOT7,ACOT7,ACOT7,ACOT7
ACOT7,LACH,ACOT7,ACOT7,ACOT7,ACOT7
ACOT7,LACH1,ACOT7,ACOT7,ACOT7,ACOT7
ACOT7,HBACH,ACOT7,ACOT7,ACOT7,ACOT7
HES2,BHLHB40,HES2,NA,NA,HES2
ESPN,DFNB36,ESPN,NA,NA,ESPN
ESPN,LP2654,ESPN,NA,NA,ESPN
TNFRSF25,APO-3,TNFRSF25,TNFRSF25,TNFRSF25,TNFRSF25
TNFRSF25,DDR3,TNFRSF25,TNFRSF25,TNFRSF25,TNFRSF25
TNFRSF25,DR3,TNFRSF25,TNFRSF25,TNFRSF25,TNFRSF25
TNFRSF25,GEF720,TNFRSF25,TNFRSF25,TNFRSF25,TNFRSF25
TNFRSF25,LARD,TNFRSF25,TNFRSF25,TNFRSF25,TNFRSF25
TNFRSF25,PLEKHG5,TNFRSF25,TNFRSF25,TNFRSF25,TNFRSF25
TNFRSF25,TNFRSF12,TNFRSF25,TNFRSF25,TNFRSF25,TNFRSF25
TNFRSF25,TR3,TNFRSF25,TNFRSF25,TNFRSF25,TNFRSF25
TNFRSF25,TRAMP,TNFRSF25,TNFRSF25,TNFRSF25,TNFRSF25
TNFRSF25,WSL-1,TNFRSF25,TNFRSF25,TNFRSF25,TNFRSF25
TNFRSF25,WSL-LR,TNFRSF25,TNFRSF25,TNFRSF25,TNFRSF25
PLEKHG5,CMTRIC,PLEKHG5,PLEKHG5,PLEKHG5,PLEKHG5
PLEKHG5,DSMA4,PLEKHG5,PLEKHG5,PLEKHG5,PLEKHG5
PLEKHG5,GEF720,PLEKHG5,PLEKHG5,PLEKHG5,PLEKHG5
PLEKHG5,SYX,PLEKHG5,PLEKHG5,PLEKHG5,PLEKHG5
PLEKHG5,TECH,PLEKHG5,PLEKHG5,PLEKHG5,PLEKHG5
NOL9,GRC3,NOL9,NOL9,NOL9,NOL9
NOL9,NET6,NOL9,NOL9,NOL9,NOL9
TAS1R1,GM148,TAS1R1,NA,NA,TAS1R1
TAS1R1,GPR70,TAS1R1,NA,NA,TAS1R1
TAS1R1,T1R1,TAS1R1,NA,NA,TAS1R1
TAS1R1,TR1,TAS1R1,NA,NA,TAS1R1
ZBTB48,HKR3,ZBTB48,ZBTB48,ZBTB48,ZBTB48
ZBTB48,TZAP,ZBTB48,ZBTB48,ZBTB48,ZBTB48
ZBTB48,ZNF855,ZBTB48,ZBTB48,ZBTB48,ZBTB48
ZBTB48,PP9964,ZBTB48,ZBTB48,ZBTB48,ZBTB48
KLHL21,-,KLHL21,KLHL21,KLHL21,KLHL21
PHF13,PHF5,PHF13,PHF13,PHF13,PHF13
PHF13,SPOC1,PHF13,PHF13,PHF13,PHF13
THAP3,-,THAP3,THAP3,THAP3,THAP3
DNAJC11,DJ126A5.1,DNAJC11,DNAJC11,DNAJC11,DNAJC11
CAMTA1,CANPMR,CAMTA1,CAMTA1,CAMTA1,CAMTA1
VAMP3,CEB,VAMP3,VAMP3,VAMP3,VAMP3
PER3,FASPS3,PER3,PER3,PER3,PER3
PER3,GIG13,PER3,PER3,PER3,PER3
UTS2,PRO1068,UTS2,NA,NA,UTS2
UTS2,U-II,UTS2,NA,NA,UTS2
UTS2,UCN2,UTS2,NA,NA,UTS2
UTS2,UII,UTS2,NA,NA,UTS2
TNFRSF9,4-1BB,TNFRSF9,NA,NA,TNFRSF9
TNFRSF9,CD137,TNFRSF9,NA,NA,TNFRSF9
TNFRSF9,CDW137,TNFRSF9,NA,NA,TNFRSF9
TNFRSF9,ILA,TNFRSF9,NA,NA,TNFRSF9
PARK7,DJ-1,PARK7,PARK7,PARK7,PARK7
PARK7,DJ1,PARK7,PARK7,PARK7,PARK7
PARK7,GATD2,PARK7,PARK7,PARK7,PARK7
PARK7,HEL-S-67P,PARK7,PARK7,PARK7,PARK7
ERRFI1,GENE-33,ERRFI1,ERRFI1,ERRFI1,ERRFI1
ERRFI1,MIG-6,ERRFI1,ERRFI1,ERRFI1,ERRFI1
ERRFI1,MIG6,ERRFI1,ERRFI1,ERRFI1,ERRFI1
ERRFI1,RALT,ERRFI1,ERRFI1,ERRFI1,ERRFI1
SLC45A1,DNB5,SLC45A1,SLC45A1,SLC45A1,SLC45A1
SLC45A1,IDDNPF,SLC45A1,SLC45A1,SLC45A1,SLC45A1
SLC45A1,PAST-A,SLC45A1,SLC45A1,SLC45A1,SLC45A1
RERE,ARG,RERE,RERE,RERE,RERE
RERE,ARP,RERE,RERE,RERE,RERE
RERE,ATN1L,RERE,RERE,RERE,RERE
RERE,DNB1,RERE,RERE,RERE,RERE
RERE,NEDBEH,RERE,RERE,RERE,RERE
ENO1,ENO1L1,ENO1,ENO1,ENO1,ENO1
ENO1,HEL-S-17,ENO1,ENO1,ENO1,ENO1
ENO1,MPB1,ENO1,ENO1,ENO1,ENO1
ENO1,NNE,ENO1,ENO1,ENO1,ENO1
ENO1,PPH,ENO1,ENO1,ENO1,ENO1
CA6,CA-VI,CA6,NA,NA,CA6
CA6,GUSTIN,CA6,NA,NA,CA6
SLC2A7,GLUT-7,SLC2A7,NA,NA,SLC2A7
SLC2A7,GLUT7,SLC2A7,NA,NA,SLC2A7
SLC2A7,HGLUT7,SLC2A7,NA,NA,SLC2A7
SLC2A5,GLUT-5,SLC2A5,SLC2A5,SLC2A5,SLC2A5
SLC2A5,GLUT5,SLC2A5,SLC2A5,SLC2A5,SLC2A5
GPR157,-,GPR157,GPR157,NA,GPR157
H6PD,CORTRD1,H6PD,H6PD,NA,H6PD
H6PD,G6PDH,H6PD,H6PD,NA,H6PD
H6PD,GDH,H6PD,H6PD,NA,H6PD
H6PD,H6PDH,H6PD,H6PD,NA,H6PD
SPSB1,SSB-1,SPSB1,SPSB1,SPSB1,SPSB1
SPSB1,SSB1,SPSB1,SPSB1,SPSB1,SPSB1
SLC25A33,BMSC-MCP,SLC25A33,SLC25A33,SLC25A33,SLC25A33
SLC25A33,PNC1,SLC25A33,SLC25A33,SLC25A33,SLC25A33
TMEM201,IMA1,TMEM201,TMEM201,NA,TMEM201
TMEM201,NET5,TMEM201,TMEM201,NA,TMEM201
TMEM201,SAMP1,TMEM201,TMEM201,NA,TMEM201
PIK3CD,APDS,PIK3CD,PIK3CD,PIK3CD,PIK3CD
PIK3CD,IMD14,PIK3CD,PIK3CD,PIK3CD,PIK3CD
PIK3CD,P110DELTA,PIK3CD,PIK3CD,PIK3CD,PIK3CD
PIK3CD,PI3K,PIK3CD,PIK3CD,PIK3CD,PIK3CD
PIK3CD,P110D,PIK3CD,PIK3CD,PIK3CD,PIK3CD
CLSTN1,ALC-ALPHA,CLSTN1,CLSTN1,CLSTN1,CLSTN1
CLSTN1,CDHR12,CLSTN1,CLSTN1,CLSTN1,CLSTN1
CLSTN1,CST-1,CLSTN1,CLSTN1,CLSTN1,CLSTN1
CLSTN1,CSTN1,CLSTN1,CLSTN1,CLSTN1,CLSTN1
CLSTN1,PIK3CD,CLSTN1,CLSTN1,CLSTN1,CLSTN1
CLSTN1,XB31ALPHA,CLSTN1,CLSTN1,CLSTN1,CLSTN1
CLSTN1,ALCALPHA1,CLSTN1,CLSTN1,CLSTN1,CLSTN1
CLSTN1,ALCALPHA2,CLSTN1,CLSTN1,CLSTN1,CLSTN1
CTNNBIP1,ICAT,CTNNBIP1,CTNNBIP1,CTNNBIP1,CTNNBIP1
LZIC,-,LZIC,LZIC,LZIC,LZIC
NMNAT1,LCA9,NMNAT1,NMNAT1,NA,NMNAT1
NMNAT1,NMNAT,NMNAT1,NMNAT1,NA,NMNAT1
NMNAT1,PNAT1,NMNAT1,NMNAT1,NA,NMNAT1
RBP7,CRABP4,RBP7,RBP7,RBP7,RBP7
RBP7,CRBP4,RBP7,RBP7,RBP7,RBP7
RBP7,CRBPIV,RBP7,RBP7,RBP7,RBP7
UBE4B,E4,UBE4B,UBE4B,UBE4B,UBE4B
UBE4B,HDNB1,UBE4B,UBE4B,UBE4B,UBE4B
UBE4B,UBOX3,UBE4B,UBE4B,UBE4B,UBE4B
UBE4B,UFD2,UBE4B,UBE4B,UBE4B,UBE4B
UBE4B,UFD2A,UBE4B,UBE4B,UBE4B,UBE4B
KIF1B,CMT2,KIF1B,KIF1B,KIF1B,KIF1B
KIF1B,CMT2A,KIF1B,KIF1B,KIF1B,KIF1B
KIF1B,CMT2A1,KIF1B,KIF1B,KIF1B,KIF1B
KIF1B,HMSNII,KIF1B,KIF1B,KIF1B,KIF1B
KIF1B,KLP,KIF1B,KIF1B,KIF1B,KIF1B
KIF1B,NBLST1,KIF1B,KIF1B,KIF1B,KIF1B
PGD,6PGD,PGD,PGD,PGD,PGD
APITD1,NA,CENPS,CENPS,NA,APITD1
APITD1-CORT,NA,CENPS-CORT,NA,NA,APITD1-CORT
CORT,CST-14,CORT,CORT,CORT,CORT
CORT,CST-17,CORT,CORT,CORT,CORT
CORT,CST-29,CORT,CORT,CORT,CORT
DFFA,DFF-45,DFFA,DFFA,DFFA,DFFA
DFFA,DFF1,DFFA,DFFA,DFFA,DFFA
DFFA,ICAD,DFFA,DFFA,DFFA,DFFA
PEX14,NAPP2,PEX14,PEX14,PEX14,PEX14
PEX14,PBD13A,PEX14,PEX14,PEX14,PEX14
PEX14,PEX14P,PEX14,PEX14,PEX14,PEX14
PEX14,DJ734G22.2,PEX14,PEX14,PEX14,PEX14
CASZ1,CAS11,CASZ1,CASZ1,NA,CASZ1
CASZ1,CST,CASZ1,CASZ1,NA,CASZ1
CASZ1,SRG,CASZ1,CASZ1,NA,CASZ1
CASZ1,ZNF693,CASZ1,CASZ1,NA,CASZ1
CASZ1,DJ734G22.1,CASZ1,CASZ1,NA,CASZ1
C1orf127,-,C1orf127,NA,NA,C1orf127
TARDBP,ALS10,TARDBP,TARDBP,TARDBP,TARDBP
TARDBP,TDP-43,TARDBP,TARDBP,TARDBP,TARDBP
MASP2,MAP19,MASP2,NA,NA,MASP2
MASP2,MASP-2,MASP2,NA,NA,MASP2
MASP2,MASP1P1,MASP2,NA,NA,MASP2
MASP2,SMAP,MASP2,NA,NA,MASP2
SRM,PAPT,SRM,SRM,SRM,SRM
SRM,SPDSY,SRM,SRM,SRM,SRM
SRM,SPS1,SRM,SRM,SRM,SRM
SRM,SRML1,SRM,SRM,SRM,SRM
EXOSC10,PM-SCL,EXOSC10,EXOSC10,EXOSC10,EXOSC10
EXOSC10,PM/SCL-100,EXOSC10,EXOSC10,EXOSC10,EXOSC10
EXOSC10,PMSCL,EXOSC10,EXOSC10,EXOSC10,EXOSC10
EXOSC10,PMSCL2,EXOSC10,EXOSC10,EXOSC10,EXOSC10
EXOSC10,RRP6,EXOSC10,EXOSC10,EXOSC10,EXOSC10
EXOSC10,RRP6P,EXOSC10,EXOSC10,EXOSC10,EXOSC10
EXOSC10,P2,EXOSC10,EXOSC10,EXOSC10,EXOSC10
EXOSC10,P3,EXOSC10,EXOSC10,EXOSC10,EXOSC10
EXOSC10,P4,EXOSC10,EXOSC10,EXOSC10,EXOSC10
MTOR,FRAP,MTOR,MTOR,NA,MTOR
MTOR,FRAP1,MTOR,MTOR,NA,MTOR
MTOR,FRAP2,MTOR,MTOR,NA,MTOR
MTOR,RAFT1,MTOR,MTOR,NA,MTOR
MTOR,RAPT1,MTOR,MTOR,NA,MTOR
MTOR,SKS,MTOR,MTOR,NA,MTOR
ANGPTL7,ANGX,ANGPTL7,NA,NA,ANGPTL7
ANGPTL7,CDT6,ANGPTL7,NA,NA,ANGPTL7
ANGPTL7,DJ647M16.1,ANGPTL7,NA,NA,ANGPTL7
UBIAD1,SCCD,UBIAD1,UBIAD1,UBIAD1,UBIAD1
UBIAD1,TERE1,UBIAD1,UBIAD1,UBIAD1,UBIAD1
PTCHD2,NA,DISP3,DISP3,PTCHD2,DISP3
FBXO2,FBG1,FBXO2,FBXO2,FBXO2,FBXO2
FBXO2,FBX2,FBXO2,FBXO2,FBXO2,FBXO2
FBXO2,FBS1,FBXO2,FBXO2,FBXO2,FBXO2
FBXO2,NFB42,FBXO2,FBXO2,FBXO2,FBXO2
FBXO2,OCP1,FBXO2,FBXO2,FBXO2,FBXO2
FBXO44,FBG3,FBXO44,FBXO44,FBXO44,FBXO44
FBXO44,FBX30,FBXO44,FBXO44,FBXO44,FBXO44
FBXO44,FBX6A,FBXO44,FBXO44,FBXO44,FBXO44
FBXO44,FBX44,FBXO44,FBXO44,FBXO44,FBXO44
FBXO44,FBXO6A,FBXO44,FBXO44,FBXO44,FBXO44
FBXO6,FBG2,FBXO6,FBXO6,FBXO6,FBXO6
FBXO6,FBS2,FBXO6,FBXO6,FBXO6,FBXO6
FBXO6,FBX6,FBXO6,FBXO6,FBXO6,FBXO6
FBXO6,FBX6B,FBXO6,FBXO6,FBXO6,FBXO6
MAD2L2,FANCV,MAD2L2,MAD2L2,MAD2L2,MAD2L2
MAD2L2,MAD2B,MAD2L2,MAD2L2,MAD2L2,MAD2L2
MAD2L2,POLZ2,MAD2L2,MAD2L2,MAD2L2,MAD2L2
MAD2L2,REV7,MAD2L2,MAD2L2,MAD2L2,MAD2L2
DRAXIN,AGPA3119,DRAXIN,DRAXIN,NA,DRAXIN
DRAXIN,C1orf187,DRAXIN,DRAXIN,NA,DRAXIN
DRAXIN,UNQ3119,DRAXIN,DRAXIN,NA,DRAXIN
DRAXIN,NEUCRIN,DRAXIN,DRAXIN,NA,DRAXIN
AGTRAP,ATRAP,AGTRAP,AGTRAP,AGTRAP,AGTRAP
C1orf167,-,C1orf167,NA,NA,C1orf167
MTHFR,-,MTHFR,MTHFR,MTHFR,MTHFR
CLCN6,CLC-6,CLCN6,CLCN6,CLCN6,CLCN6
NPPA,ANF,NPPA,NA,NPPA,NPPA
NPPA,ANP,NPPA,NA,NPPA,NPPA
NPPA,ATFB6,NPPA,NA,NPPA,NPPA
NPPA,ATRST2,NPPA,NA,NPPA,NPPA
NPPA,CDD,NPPA,NA,NPPA,NPPA
NPPA,CDD-ANF,NPPA,NA,NPPA,NPPA
NPPA,CDP,NPPA,NA,NPPA,NPPA
NPPA,PND,NPPA,NA,NPPA,NPPA
NPPB,BNP,NPPB,NA,NA,NPPB
KIAA2013,-,KIAA2013,KIAA2013,KIAA2013,KIAA2013
PLOD1,EDS6,PLOD1,PLOD1,PLOD1,PLOD1
PLOD1,EDSKCL1,PLOD1,PLOD1,PLOD1,PLOD1
PLOD1,LH,PLOD1,PLOD1,PLOD1,PLOD1
PLOD1,LH1,PLOD1,PLOD1,PLOD1,PLOD1
PLOD1,LLH,PLOD1,PLOD1,PLOD1,PLOD1
PLOD1,PLOD,PLOD1,PLOD1,PLOD1,PLOD1
MFN2,CMT2A,MFN2,MFN2,MFN2,MFN2
MFN2,CMT2A2,MFN2,MFN2,MFN2,MFN2
MFN2,CMT2A2A,MFN2,MFN2,MFN2,MFN2
MFN2,CMT2A2B,MFN2,MFN2,MFN2,MFN2
MFN2,CPRP1,MFN2,MFN2,MFN2,MFN2
MFN2,HMSN6A,MFN2,MFN2,MFN2,MFN2
MFN2,HSG,MFN2,MFN2,MFN2,MFN2
MFN2,MARF,MFN2,MFN2,MFN2,MFN2
MIIP,IIP45,MIIP,MIIP,NA,MIIP
TNFRSF8,CD30,TNFRSF8,NA,NA,TNFRSF8
TNFRSF8,D1S166E,TNFRSF8,NA,NA,TNFRSF8
TNFRSF8,KI-1,TNFRSF8,NA,NA,TNFRSF8
TNFRSF1B,CD120B,TNFRSF1B,TNFRSF1B,TNFRSF1B,TNFRSF1B
TNFRSF1B,TBPII,TNFRSF1B,TNFRSF1B,TNFRSF1B,TNFRSF1B
