gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CKB,1.76e-8,creatine kinase B,++,--++,+-,1.7818121591898201e-4,0.9234673294895739,+,3.56e-4,3.448108086075805,1.82118e-5,0.0959,0.0959,-0.0406,0.507
ZC3H7B,2.91e-8,zinc finger CCCH-type containing 7B,++,--++,+-,3.159093756468133e-4,0.6244799260008345,+,6.32e-4,3.1994074891264925,0.0024309930000000002,0.17,0.17,-0.0406,0.507
C16orf45,1.86e-9,BMERB Domain Containing 1,++,-+++,++,4.751188405466173e-4,0.9959259875465983,+,9.5e-4,3.022167751893667,9.58753e-4,0.256,0.256,-0.0406,0.507
ZNF638,1.83e-7,zinc finger protein 638,--,+---,NA,0.9956187158796943,6.360873801094037e-4,-,0.00127,2.895453225019849,0.001959458,0.342,0.342,-0.0406,0.507
UBE2M,8.89e-7,ubiquitin conjugating enzyme E2 M,++,--++,-+,8.100168758824126e-4,0.4516048558731154,+,0.00162,2.7904759372767995,4.9052e-5,0.436,0.436,-0.0406,0.507
SCYL1,6.11e-8,SCY1 like pseudokinase 1,++,++++,+-,0.00121116735801176,0.6743668474655165,+,0.00242,2.6157658466271814,0.001734011,0.652,0.652,-0.0406,0.507
TRAF3,3.17e-7,TNF receptor associated factor 3,++,--+-,--,0.9778896579807919,0.0015992677092205104,-,0.0032,2.4950488358332943,0.011555865,0.86,0.86,-0.0406,0.507
SAMD5,1.21e-8,sterile alpha motif domain containing 5,--,----,+-,0.958001610535795,0.0017435343873446183,-,0.00349,2.457539487045164,0.00918046,0.938,0.938,-0.0406,0.507
ARHGEF25,1.9e-6,Rho guanine nucleotide exchange factor 25,++,--++,NA,0.0018281155353459518,0.9239996642326205,+,0.00366,2.43696636502922,0.00242952,0.984,0.984,-0.0406,0.507
KLC1,2.46e-10,kinesin light chain 1,++,+-+-,++,0.00193202335775417,0.9872345173159225,+,0.00386,2.412957631696283,0.003812079,1.04,1,-0.0406,0.507
ZDHHC21,7.5e-9,zinc finger DHHC-type containing 21,++,----,--,0.871069938776622,0.002748071232118686,-,0.0055,2.259942018555807,0.014756273,1.48,1,-0.0406,0.507
KDM3A,1.76e-9,lysine demethylase 3A,-+,+---,NA,0.7839592029375626,0.0031112064034622172,-,0.00622,2.206041180333976,0.005746965,1.67,1,-0.0406,0.507
ITPR3,1.55e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,--++,Filtered_Out,0.003249648106187412,0.9321969631448801,+,0.0065,2.187133669146441,0.001833984,1.75,1,-0.0406,0.507
INPP4B,3.71e-7,inositol polyphosphate-4-phosphatase type II B,-+,----,--,0.9918770342988894,0.0034332737409437522,-,0.00687,2.1632615724681497,0.05572147,1.85,1,-0.0406,0.507
TMEM106B,1.22e-12,transmembrane protein 106B,--,++--,-+,0.15227306619288036,0.0037586493129810397,-,0.00752,2.1239381969893127,2.16239e-4,2.02,1,-0.0406,0.507
MGAT4C,1.22e-6,MGAT4 family member C,-+,----,++,0.6979230242236658,0.003830630352557563,-,0.00766,2.115699758797715,0.002131326,2.06,1,-0.0406,0.507
SPRY2,8.26e-7,sprouty RTK signaling antagonist 2,+-,----,--,0.9876423886144454,0.00568211347282582,-,0.0114,1.9444601019237542,0.012800616,3.06,1,-0.0406,0.507
HARS,2.1e-7,histidyl-tRNA synthetase,++,+-++,+-,0.007105660760548044,0.202067439719939,+,0.0142,1.8473655348358047,0.005687828,3.82,1,-0.0406,0.507
RFTN2,5.41e-7,raftlin family member 2,--,++--,-+,0.5316764885496004,0.008659883033022373,-,0.0173,1.76145797819119,0.03639445856167979,4.66,1,-0.0406,0.507
RTN1,1.71e-8,reticulon 1,++,-+++,-+,0.009211257327361716,0.5319167994599067,+,0.0184,1.734651089332896,0.006195693,4.96,1,-0.0406,0.507
ACVR1B,5.28e-7,activin A receptor type 1B,++,-+++,+-,0.00953640801705616,0.6207794151874249,+,0.0191,1.7195851801691782,0.016928378850805628,5.13,1,-0.0406,0.507
PPID,2.41e-6,peptidylprolyl isomerase D,-+,++++,-+,0.00964410132564186,0.7478697686771028,+,0.0193,1.7147082396965543,0.003648034,5.19,1,-0.0406,0.507
ZMAT2,2.44e-6,zinc finger matrin-type 2,++,++++,-+,0.010629579858487805,0.7189272655385218,+,0.0213,1.6724539052639307,0.024694837,5.72,1,-0.0406,0.507
SERPING1,2.45e-6,serpin family G member 1,++,-+++,++,0.010739340673403142,0.9951219600528444,+,0.0215,1.667992385048123,0.004084704530120423,5.78,1,-0.0406,0.507
SEMA6D,4.1e-9,semaphorin 6D,-+,+---,+-,0.8680104451435775,0.010914728221280876,-,0.0218,1.660957078167866,0.00427009,5.87,1,-0.0406,0.507
SOX6,4.17e-7,SRY-box 6,--,+---,Filtered_Out,0.9893655056366599,0.011777101615768209,-,0.0236,1.6279315820646625,0.068401631,6.34,1,-0.0406,0.507
C11orf31,5.11e-7,selenoprotein H,++,+++-,--,0.012516675354563843,0.37817488709050323,+,0.025,1.6014810162690631,0.002668892,6.73,1,-0.0406,0.507
SGIP1,1.68e-9,SH3 domain GRB2 like endophilin interacting protein 1,--,----,-+,0.6511045321633221,0.012593632424994174,-,0.0252,1.5988189910986048,0.009448596,6.78,1,-0.0406,0.507
USP3,2.49e-6,ubiquitin specific peptidase 3,--,+---,+-,0.902891414897923,0.013285064696280574,-,0.0266,1.5756063306353199,0.012310163,7.15,1,-0.0406,0.507
SOX5,3.79e-9,SRY-box 5,+-,----,Filtered_Out,0.9830174815545925,0.013878681013421301,-,0.0278,1.5566218102497398,0.040092956,7.47,1,-0.0406,0.507
RERE,1.43e-11,arginine-glutamic acid dipeptide repeats,++,--++,+-,0.01633017101558737,0.2926745480013761,+,0.0327,1.4859792714831832,6.1161e-4,8.79,1,-0.0406,0.507
ZNF501,5.35e-7,zinc finger protein 501,--,+---,Filtered_Out,0.9933361931204925,0.016656284591838384,-,0.0333,1.477391871683901,0.064347101,8.96,1,-0.0406,0.507
OR2B2,2.79e-12,olfactory receptor family 2 subfamily B member 2,++,NA,Filtered_Out,0.016804803053684415,0.9831951969463155,+,0.0336,1.4735365772775797,0.03360960610736883,9.04,1,-0.0406,0.507
MANEA,1.88e-6,mannosidase endo-alpha,--,++--,-+,0.030791993377092087,0.017255572414285547,-,0.0345,1.4620406337399694,7.71466e-4,9.28,1,-0.0406,0.507
RANGAP1,3.07e-8,Ran GTPase activating protein 1,++,++++,--,0.01831643997143833,0.050031164809314944,+,0.0366,1.436128937351458,0.00819691,9.85,1,-0.0406,0.507
C3orf84,2.53e-7,chromosome 3 open reading frame 84,++,NA,NA,0.018326179304374246,0.9816738206956257,+,0.0367,1.4358980729244772,0.03665235860874849,9.86,1,-0.0406,0.507
MARK3,2.68e-7,microtubule affinity regulating kinase 3,++,+---,+-,0.32197252061204557,0.019754897267191786,-,0.0395,1.4032952288054041,0.048320037,10.6,1,-0.0406,0.507
OLFM4,1.7e-12,olfactomedin 4,++,-++-,Filtered_Out,0.020104447866067764,0.9796952295232374,+,0.0402,1.3956778538810581,0.04493066573233237,10.8,1,-0.0406,0.507
CTTNBP2,1.26e-7,cortactin binding protein 2,--,+---,--,0.9945495111817596,0.020787944083633166,-,0.0416,1.3811584643688715,0.052893520764315326,11.2,1,-0.0406,0.507
HLA-DQB1,2.33e-7,"major histocompatibility complex, class II, DQ beta 1",--,+---,NA,0.987601723051941,0.021242420914823625,-,0.0425,1.3717659942789695,0.04883371533595394,11.4,1,-0.0406,0.507
LST1,5.42e-9,leukocyte specific transcript 1,--,++++,-+,0.021470051563780554,0.3267678419499927,+,0.0429,1.367136916870498,0.012599797,11.6,1,-0.0406,0.507
BAD,1.35e-6,BCL2 associated agonist of cell death,-+,++++,--,0.021778371229821538,0.2959925532849043,+,0.0436,1.360944607903936,0.001132037,11.7,1,-0.0406,0.507
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",++,++++,--,0.023594827390421815,0.2171434043225434,+,0.0472,1.326153199756501,0.014556544,12.7,1,-0.0406,0.507
PRSS16,6.41e-9,serine protease 16,++,Missing_P_Values,Filtered_Out,0.024250990784289425,0.9757490092157105,+,0.0485,1.3142405177540393,0.04850198156857885,13,1,-0.0406,0.507
ASXL3,2.06e-6,ASXL transcriptional regulator 3,--,--+-,++,0.1430311635969349,0.024253483756542717,-,0.0485,1.3141958751059395,0.002256491,13,1,-0.0406,0.507
CAMKK2,1.88e-6,calcium/calmodulin dependent protein kinase kinase 2,++,-+++,--,0.19228033121239468,0.0247156116041006,-,0.0494,1.3059986425030288,0.002338858,13.3,1,-0.0406,0.507
