gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
SAMD5,1.21e-8,sterile alpha motif domain containing 5,--,----,+-,0.958937492696913,2.419669748031639e-4,-,4.84e-4,3.3152139095931665,0.001158159,0.13,0.13,0.0458,0.454
KLC1,2.46e-10,kinesin light chain 1,++,++--,++,4.6260576269775195e-4,0.9878315298747298,+,9.25e-4,3.0337589658446817,0.003812079,0.249,0.249,0.0458,0.454
SPRY2,8.26e-7,sprouty RTK signaling antagonist 2,+-,----,--,0.9883579891013259,7.798487613055226e-4,-,0.00156,2.806959617669934,0.00653533,0.42,0.42,0.0458,0.454
UBE2M,8.89e-7,ubiquitin conjugating enzyme E2 M,++,-+++,-+,0.002132719369248212,0.4745699539784339,+,0.00427,2.37003629112994,0.001004996,1.15,1,0.0458,0.454
ITPR3,1.55e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,++++,Filtered_Out,0.0028661640546430445,0.9699661412627207,+,0.00573,2.241668959242207,0.00799503,1.54,1,0.0458,0.454
SLC4A9,2.66e-6,solute carrier family 4 member 9,--,-+--,Filtered_Out,0.9870592354475811,0.004955881010671887,-,0.00991,2.0038491337968374,0.020928616,2.67,1,0.0458,0.454
RTN1,1.71e-8,reticulon 1,++,++-+,-+,0.006452584847624476,0.52027787072232,+,0.0129,1.88923628037035,0.006195693,3.47,1,0.0458,0.454
HLA-DQB1,2.33e-7,"major histocompatibility complex, class II, DQ beta 1",--,----,NA,0.999297758966531,0.006504525315158159,-,0.013,1.8857543960640173,0.04883371533595394,3.5,1,0.0458,0.454
CTTNBP2,1.26e-7,cortactin binding protein 2,--,+---,--,0.9994226933122113,0.006801157813229528,-,0.0136,1.86638715205717,0.040096248,3.66,1,0.0458,0.454
MED19,1.75e-7,mediator complex subunit 19,++,++++,++,0.008003077366252711,0.9959692132677407,+,0.016,1.795712989069671,0.010293157,4.31,1,0.0458,0.454
CKB,1.76e-8,creatine kinase B,++,++++,+-,0.008831927205512645,0.9763247906091675,+,0.0177,1.7529145234769885,0.004117161,4.75,1,0.0458,0.454
RFTN2,5.41e-7,raftlin family member 2,--,++--,-+,0.4875310969570031,0.01013155023792085,-,0.0203,1.6932941020888694,0.03639445856167979,5.45,1,0.0458,0.454
SGIP1,1.68e-9,SH3 domain GRB2 like endophilin interacting protein 1,--,----,-+,0.655313591972713,0.010640598057866265,-,0.0213,1.6720039660450485,0.009448596,5.72,1,0.0458,0.454
RERE,1.43e-11,arginine-glutamic acid dipeptide repeats,++,--++,+-,0.011183595595458172,0.18783413866123322,+,0.0224,1.6503885499612707,6.1161e-4,6.02,1,0.0458,0.454
TRAF3,3.17e-7,TNF receptor associated factor 3,++,---+,--,0.9774866947398573,0.011606148075700437,-,0.0232,1.634281897176147,0.01238427,6.24,1,0.0458,0.454
SERPING1,2.45e-6,serpin family G member 1,++,--++,++,0.011800576488795603,0.8806928367350448,+,0.0236,1.627066780098775,0.004084704530120423,6.35,1,0.0458,0.454
YLPM1,3.52e-10,YLP motif containing 1,--,--+-,NA,0.8928346085468386,0.011903507318852712,-,0.0238,1.6232950610276613,0.001039362,6.4,1,0.0458,0.454
OLFM4,1.7e-12,olfactomedin 4,++,++++,Filtered_Out,0.012038376913193179,0.9988788548275229,+,0.0241,1.6184020676767545,0.04493066573233237,6.48,1,0.0458,0.454
AREL1,3.04e-8,apoptosis resistant E3 ubiquitin protein ligase 1,++,----,+-,0.5338883463852334,0.012503914673003226,-,0.025,1.6019240029501518,0.023507959,6.73,1,0.0458,0.454
METTL9,1.74e-10,methyltransferase like 9,++,+++-,++,0.01327796662162147,0.9970355685554995,+,0.0266,1.575838431760607,0.019618914,7.14,1,0.0458,0.454
MR1,6.25e-8,"major histocompatibility complex, class I-related",++,++--,++,0.013653668156322163,0.9134277110456729,+,0.0273,1.5637206609418977,0.043640075,7.35,1,0.0458,0.454
SOX5,3.79e-9,SRY-box 5,+-,----,Filtered_Out,0.9830354899710766,0.014251075228332846,-,0.0285,1.5451223717026992,0.077126588,7.67,1,0.0458,0.454
ZDHHC21,7.5e-9,zinc finger DHHC-type containing 21,++,-+--,--,0.6108639377348943,0.014911157387015095,-,0.0298,1.52545865013278,0.014756273,8.02,1,0.0458,0.454
PCNP,2.33e-7,PEST proteolytic signal containing nuclear protein,-+,++-+,-+,0.015448490438755787,0.3871124142557805,+,0.0309,1.5100839559245736,0.013082865,8.31,1,0.0458,0.454
OR2B2,2.79e-12,olfactory receptor family 2 subfamily B member 2,++,NA,Filtered_Out,0.016804803053684415,0.9831951969463155,+,0.0336,1.4735365772775797,0.03360960610736883,9.04,1,0.0458,0.454
ARHGEF25,1.9e-6,Rho guanine nucleotide exchange factor 25,++,+-++,NA,0.01742134334070599,0.9681177765436173,+,0.0348,1.4578883644013163,0.07013719,9.37,1,0.0458,0.454
ZNF638,1.83e-7,zinc finger protein 638,--,+++-,NA,0.7808585185383095,0.01801116470443837,-,0.036,1.4434282066549904,0.011210283,9.69,1,0.0458,0.454
C3orf84,2.53e-7,chromosome 3 open reading frame 84,++,NA,NA,0.018326179304374246,0.9816738206956257,+,0.0367,1.4358980729244772,0.03665235860874849,9.86,1,0.0458,0.454
ANKS1B,1.5e-6,ankyrin repeat and sterile alpha motif domain containing 1B,-+,--++,++,0.018858411580272082,0.6115065121913426,+,0.0377,1.423464894459323,0.008015543,10.1,1,0.0458,0.454
CHD6,1.38e-10,chromodomain helicase DNA binding protein 6,--,++++,++,0.019723388597659798,0.648625227042781,+,0.0394,1.4039884728972225,0.039984082,10.6,1,0.0458,0.454
PPID,2.41e-6,peptidylprolyl isomerase D,-+,+++-,-+,0.02120242626471053,0.6511428579788501,+,0.0424,1.372584442790138,0.003648034,11.4,1,0.0458,0.454
RANGAP1,3.07e-8,Ran GTPase activating protein 1,++,+-+-,--,0.5073698094845998,0.022505233988806776,-,0.045,1.3466864716418663,0.00819691,12.1,1,0.0458,0.454
TCF4,4.55e-16,transcription factor 4,+-,-+--,++,0.02404054963706722,0.5474960796573652,+,0.0481,1.3180256116535456,0.01977294,12.9,1,0.0458,0.454
HARS,2.1e-7,histidyl-tRNA synthetase,++,+-++,+-,0.02424876870863181,0.19081102467084188,+,0.0485,1.3142803132172431,0.005687828,13,1,0.0458,0.454
PRSS16,6.41e-9,serine protease 16,++,Missing_P_Values,Filtered_Out,0.024250990784289425,0.9757490092157105,+,0.0485,1.3142405177540393,0.04850198156857885,13,1,0.0458,0.454
CAMKK2,1.88e-6,calcium/calmodulin dependent protein kinase kinase 2,++,-+++,--,0.40182898451018717,0.02520138155014351,-,0.0504,1.297545654699023,0.002338858,13.6,1,0.0458,0.454
ZC3H7B,2.91e-8,zinc finger CCCH-type containing 7B,++,--++,+-,0.025606750651528325,0.6431984128141748,+,0.0512,1.2906155318278452,0.0024309930000000002,13.8,1,0.0458,0.454
ASXL3,2.06e-6,ASXL transcriptional regulator 3,--,--++,++,0.025944299158757022,0.18386600769373193,+,0.0519,1.2849280608755302,0.008215908,14,1,0.0458,0.454
CDH13,1.59e-11,cadherin 13,-+,--+-,++,0.18654587690554858,0.02718766170679272,-,0.0544,1.2645981469326106,0.00394136,14.6,1,0.0458,0.454
ACVR1B,5.28e-7,activin A receptor type 1B,++,----,+-,0.027422120646407637,0.43987685347958105,+,0.0548,1.2608689671057005,0.016928378850805628,14.8,1,0.0458,0.454
ZDHHC5,3.47e-8,zinc finger DHHC-type containing 5,++,----,--,0.7930859357179052,0.028876884679805342,-,0.0578,1.2384196658313606,0.064776592,15.5,1,0.0458,0.454
RBFOX1,6.09e-17,RNA binding fox-1 homolog 1,++,--++,--,0.6631731126840065,0.02934586744854446,-,0.0587,1.2314230527781902,0.027298127,15.8,1,0.0458,0.454
MYBPC3,1.39e-6,"myosin binding protein C, cardiac",-+,NA,--,0.7766748265256967,0.03303225370606886,-,0.0661,1.1800317988335474,0.043225843,17.8,1,0.0458,0.454
TMEM258,5.55e-7,transmembrane protein 258,--,++++,--,0.6383351105268666,0.03533287422420742,-,0.0707,1.1507910369000256,0.023539607,19,1,0.0458,0.454
PQLC2L,7.05e-9,PQ loop repeat containing 2 like,++,----,Filtered_Out,0.6905826629332438,0.036195461464794035,-,0.0724,1.1403158864096485,0.016788057,19.5,1,0.0458,0.454
RHOA,7.1e-7,ras homolog family member A,-+,-+++,-+,0.03620281270965183,0.43233023224780637,+,0.0724,1.1402276907965834,0.005285861,19.5,1,0.0458,0.454
RFWD2,7e-9,COP1 E3 ubiquitin ligase,++,-+++,+-,0.03738983468898074,0.8894014052720096,+,0.0748,1.126216459316118,0.036901,20.1,1,0.0458,0.454
PCDH9,3.53e-10,protocadherin 9,--,-+--,++,0.037891947272975596,0.046029604521703515,+,0.0758,1.1204230800275703,0.004988764,20.4,1,0.0458,0.454
HARS2,1.35e-6,"histidyl-tRNA synthetase 2, mitochondrial",++,++-+,+-,0.03903409005760016,0.9734504498375982,+,0.0781,1.1075259445643302,0.03920618,21,1,0.0458,0.454
C16orf45,1.86e-9,BMERB Domain Containing 1,++,--++,++,0.04195533010769437,0.9747020182312993,+,0.0839,1.0761828618337037,0.010961861,22.6,1,0.0458,0.454
SLC30A9,2.62e-7,solute carrier family 30 member 9,-+,++--,-+,0.043557812828303726,0.8962933811495665,+,0.0871,1.0599039399659265,0.02130154,23.4,1,0.0458,0.454
ETFDH,1.44e-6,electron transfer flavoprotein dehydrogenase,+-,+++-,++,0.044221990285355894,0.9709713095714687,+,0.0884,1.0533317194968521,0.013639888,23.8,1,0.0458,0.454
BTN3A2,3.96e-13,butyrophilin subfamily 3 member A2,+-,+---,--,0.9943338923075443,0.047595330402974714,-,0.0952,1.021405658331923,0.089452903,25.6,1,0.0458,0.454
ZKSCAN4,7.51e-14,zinc finger with KRAB and SCAN domains 4,--,+++-,-+,0.049661400264044114,0.3182123479748071,+,0.0993,1.0029510434796554,0.009869007,26.7,1,0.0458,0.454
BEND4,1.3e-7,BEN domain containing 4,-+,----,NA,0.6145099310757332,0.04972289351459047,-,0.0994,1.002413610817425,0.04380202,26.8,1,0.0458,0.454
POGZ,3.16e-7,pogo transposable element derived with ZNF domain,--,--+-,+-,0.6125387957071634,0.04976547924514298,-,0.0995,1.002041813623375,0.032245022,26.8,1,0.0458,0.454
FAM120AOS,2.42e-6,family with sequence similarity 120A opposite strand,++,++-+,NA,0.05071091017074833,0.9697068164362361,+,0.101,0.9938685989037784,0.036167336,27.3,1,0.0458,0.454
PLCL1,7.79e-7,phospholipase C like 1 (inactive),--,++--,-+,0.5722040440400767,0.050827234172738,-,0.102,0.9928735266655627,0.054857303,27.3,1,0.0458,0.454
PTPRS,2.3e-6,protein tyrosine phosphatase receptor type S,--,--++,--,0.9913370897170597,0.05199346737001405,-,0.104,0.9830212234584907,0.083189045,28,1,0.0458,0.454
HS6ST3,1.66e-8,heparan sulfate 6-O-sulfotransferase 3,++,-+++,-+,0.05677201772939674,0.3671339436939432,+,0.114,0.9448356746134994,0.017918727,30.5,1,0.0458,0.454
TMEM106B,1.22e-12,transmembrane protein 106B,--,++--,-+,0.05710094929772634,0.22257145060755898,+,0.114,0.9423266759266471,0.004060218,30.7,1,0.0458,0.454
ZCCHC7,4.19e-12,zinc finger CCHC-type containing 7,+-,+-++,++,0.0598932943739556,0.969863610029917,+,0.12,0.9215918026379916,0.069532303,32.2,1,0.0458,0.454
HIST1H2BN,6.9e-17,histone cluster 1 H2B family member n,--,--++,Filtered_Out,0.5792233861294089,0.060768753068558404,-,0.122,0.9152896793100833,0.006573579,32.7,1,0.0458,0.454
CHMP3,4e-7,charged multivesicular body protein 3,++,++++,-+,0.06375481440593428,0.8561630056686944,+,0.128,0.8944570185087157,0.077941758,34.3,1,0.0458,0.454
CDK14,2.93e-7,cyclin dependent kinase 14,++,++-+,-+,0.06379684225110548,0.8616156081012727,+,0.128,0.8941708213336567,0.029788858,34.3,1,0.0458,0.454
MYRF,1.68e-8,myelin regulatory factor,--,-+--,-+,0.8208389048159572,0.06559378675307612,-,0.131,0.8821073007324487,0.07224737840845456,35.3,1,0.0458,0.454
CELF2,7.52e-8,CUGBP Elav-like family member 2,++,----,+-,0.5330148528805699,0.06735538333796258,-,0.135,0.8705976921680447,0.035818179,36.2,1,0.0458,0.454
DCDC1,7.46e-9,doublecortin domain containing 1,+-,+++-,Filtered_Out,0.06738146370397921,0.813951765649361,+,0.135,0.8704295635612506,0.026863188,36.3,1,0.0458,0.454
DCDC5,2.49e-9,doublecortin domain containing 1,+-,+++-,Filtered_Out,0.06738146370397921,0.813951765649361,+,0.135,0.8704295635612506,0.026863188,36.3,1,0.0458,0.454
MICB,2.62e-7,MHC class I polypeptide-related sequence B,--,++++,Filtered_Out,0.06766681346157795,0.9614400197202099,+,0.135,0.8685942789924567,0.082106921,36.4,1,0.0458,0.454
