gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CKB,1.76e-8,creatine kinase B,++,+-++,--,2.9512265254230095e-5,0.4581446126597735,+,5.9e-5,4.228967458690505,1.82118e-5,0.0159,0.0159,-0.0372,0.544
UBE2M,8.89e-7,ubiquitin conjugating enzyme E2 M,++,+-++,+-,3.178954666399402e-5,0.7128754895874242,+,6.36e-5,4.196685669649609,4.9052e-5,0.0171,0.0171,-0.0372,0.544
ZNF638,1.83e-7,zinc finger protein 638,--,++--,NA,0.9225876659480294,3.068112734328592e-4,-,6.14e-4,3.212098691106882,0.001959458,0.165,0.165,-0.0372,0.544
SAMD5,1.21e-8,sterile alpha motif domain containing 5,--,----,--,0.9998504042385885,3.113264720039109e-4,-,6.23e-4,3.2057539541436055,0.001158159,0.167,0.167,-0.0372,0.544
CTNND1,7.75e-8,catenin delta 1,--,---+,--,0.968294460370171,0.0011866126818213605,-,0.00237,2.624661018824719,0.001687079,0.638,0.638,-0.0372,0.544
C16orf45,1.86e-9,BMERB Domain Containing 1,++,--++,-+,0.0012232546453455361,0.94034445597527,+,0.00245,2.611453130654828,9.58753e-4,0.658,0.658,-0.0372,0.544
ARHGEF25,1.9e-6,Rho guanine nucleotide exchange factor 25,++,--++,NA,0.0027616893153364986,0.8332595471880095,+,0.00552,2.257795184627907,0.00242952,1.49,1,-0.0372,0.544
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",++,++++,++,0.0028041801633303964,0.996896161805858,+,0.00561,2.251164091536881,0.014556544,1.51,1,-0.0372,0.544
BAD,1.35e-6,BCL2 associated agonist of cell death,-+,++++,--,0.002811002217719622,0.2944224231803708,+,0.00562,2.2501088160949907,0.001132037,1.51,1,-0.0372,0.544
YLPM1,3.52e-10,YLP motif containing 1,--,----,NA,0.9933149943433166,0.0028681933825694898,-,0.00574,2.241361574860655,0.001039362,1.54,1,-0.0372,0.544
