gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
ITPR3,1.55e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,+-++,Filtered_Out,0.0017563012698463443,0.6420554749273012,+,0.00351,2.4543709890021064,0.001833984,0.945,0.945,-0.0454,0.459
SPRY2,8.26e-7,sprouty RTK signaling antagonist 2,--,----,+-,0.9770596249781962,0.0018497372007365215,-,0.0037,2.431859973434193,0.007577574,0.995,0.995,-0.0454,0.459
PSORS1C1,1.74e-8,psoriasis susceptibility 1 candidate 1,--,Missing_P_Values,Filtered_Out,0.9971805687088799,0.002819431291120115,-,0.00564,2.248808488937444,0.00563886258224023,1.52,1,-0.0454,0.459
HIST1H2BO,9.65e-8,histone cluster 1 H2B family member o,--,NA,Filtered_Out,0.9969637775786614,0.003036222421338625,-,0.00607,2.2166364212951164,0.00607244484267725,1.63,1,-0.0454,0.459
PAX6,1.67e-9,paired box 6,++,+---,--,0.9208274051771059,0.004145540740727481,-,0.00829,2.0813888167604118,0.002175936,2.23,1,-0.0454,0.459
ZC3H7B,2.91e-8,zinc finger CCCH-type containing 7B,-+,--++,++,0.0041689062479733675,0.7462269927666767,+,0.00834,2.0789478756874495,0.00588712,2.24,1,-0.0454,0.459
TRAF3,3.17e-7,TNF receptor associated factor 3,-+,----,--,0.9977842391175532,0.00672751577349096,-,0.0135,1.8711152796420247,0.011555865,3.62,1,-0.0454,0.459
HLA-DQB1,2.33e-7,"major histocompatibility complex, class II, DQ beta 1",--,----,NA,0.9980689378197747,0.010031238017400594,-,0.0201,1.697615469027866,0.06263463126664132,5.4,1,-0.0454,0.459
HS6ST3,1.66e-8,heparan sulfate 6-O-sulfotransferase 3,++,-++-,+-,0.010082180256428484,0.7778885706388289,+,0.0202,1.69541554653716,0.001631929,5.42,1,-0.0454,0.459
SAMD5,1.21e-8,sterile alpha motif domain containing 5,--,----,--,0.9941999077807947,0.010674226160182102,-,0.0213,1.67063360415601,0.00918046,5.74,1,-0.0454,0.459
USP3,2.49e-6,ubiquitin specific peptidase 3,+-,+---,--,0.883152685871489,0.010710535792539298,-,0.0214,1.669158807460934,0.020889981,5.76,1,-0.0454,0.459
CELF2,7.52e-8,CUGBP Elav-like family member 2,++,----,--,0.5795832041610249,0.011685807347846138,-,0.0234,1.6313112820791258,0.016642978,6.29,1,-0.0454,0.459
VPS41,1.94e-6,VPS41 subunit of HOPS complex,++,++--,++,0.012727615632085701,0.918427181191861,+,0.0255,1.5942229529854228,0.009832116,6.85,1,-0.0454,0.459
SLC4A9,2.66e-6,solute carrier family 4 member 9,--,---+,Filtered_Out,0.9866241773142373,0.01378430078875041,-,0.0276,1.5595852630047775,0.020928616,7.42,1,-0.0454,0.459
MGAT4C,1.22e-6,MGAT4 family member C,++,+---,--,0.6245303410299673,0.014478661901506346,-,0.029,1.5382415775332319,0.008288091,7.79,1,-0.0454,0.459
KDM3A,1.76e-9,lysine demethylase 3A,+-,+---,NA,0.9668272034173951,0.015795698651957502,-,0.0316,1.5004311645994672,0.00748713,8.5,1,-0.0454,0.459
ZHX3,2.34e-7,zinc fingers and homeoboxes 3,++,----,--,0.9593279607465826,0.017735478090379207,-,0.0355,1.4501271042139905,0.017922949,9.54,1,-0.0454,0.459
EXT1,1.2e-6,exostosin glycosyltransferase 1,++,--+-,+-,0.597891110836553,0.020211363467196413,-,0.0404,1.3933743921415467,0.012901779,10.9,1,-0.0454,0.459
CRB1,2.5e-7,crumbs cell polarity complex component 1,++,+---,+-,0.7466682075381401,0.021605758364927025,-,0.0432,1.3644004896284676,9.89607e-4,11.6,1,-0.0454,0.459
SOX5,3.79e-9,SRY-box 5,++,----,Filtered_Out,0.8692338026758801,0.021822625155479645,-,0.0436,1.3600630114309675,0.040092956,11.7,1,-0.0454,0.459
BEND4,1.3e-7,BEN domain containing 4,++,-+--,NA,0.7475104928913866,0.022518004184020404,-,0.045,1.346440108843991,0.003839183,12.1,1,-0.0454,0.459
BAZ2B,1.32e-7,bromodomain adjacent to zinc finger domain 2B,--,+-+-,--,0.9570415104740787,0.023008698916724024,-,0.046,1.33707794321901,0.013601592,12.4,1,-0.0454,0.459
METTL9,1.74e-10,methyltransferase like 9,++,+++-,++,0.024385404857824713,0.9924372721115335,+,0.0488,1.3118400339897487,0.023636704,13.1,1,-0.0454,0.459
PLA2R1,3.98e-7,phospholipase A2 receptor 1,-+,--+-,Filtered_Out,0.8766349159719689,0.026026336691820993,-,0.0521,1.2835569605636605,0.001639741,14,1,-0.0454,0.459
TCF4,4.55e-16,transcription factor 4,++,----,--,0.6738092536499888,0.027372830633353225,-,0.0547,1.2616502940694547,0.002236053,14.7,1,-0.0454,0.459
C1QTNF7,2.61e-6,C1q and TNF related 7,--,--+-,Filtered_Out,0.9123044876096708,0.02804730516441904,-,0.0561,1.2510788645351192,0.035265047,15.1,1,-0.0454,0.459
MYRF,1.68e-8,myelin regulatory factor,+-,-+-+,--,0.5077801570638903,0.028292618038749263,-,0.0566,1.247296867866132,0.015939285,15.2,1,-0.0454,0.459
VRK2,9.97e-9,VRK serine/threonine kinase 2,--,++-+,-+,0.559235284454973,0.028340519214137046,-,0.0567,1.2465622018342786,0.026045818596663467,15.2,1,-0.0454,0.459
MANEA,1.88e-6,mannosidase endo-alpha,++,++--,--,0.07930072732456836,0.03071080483320824,-,0.0614,1.2116788062569666,7.71466e-4,16.5,1,-0.0454,0.459
HIST1H1B,9.97e-14,histone cluster 1 H1 family member b,+-,NA,Filtered_Out,0.9692760398083585,0.030723960191641534,-,0.0614,1.2114928106025498,0.06144792038328307,16.5,1,-0.0454,0.459
B3GALTL,5.7e-12,beta 3-glucosyltransferase,+-,----,--,0.9778219920889637,0.031191660459138897,-,0.0624,1.2049315096992081,0.04530435,16.8,1,-0.0454,0.459
FADS1,1.25e-7,fatty acid desaturase 1,+-,+---,--,0.9788959722702959,0.03155848851273146,-,0.0631,1.1998538097447624,0.071401741,17,1,-0.0454,0.459
HSPA1A,8.13e-8,heat shock protein family A (Hsp70) member 1A,--,----,-+,0.990362938799916,0.03206667335983809,-,0.0641,1.192916096368998,0.074291107,17.3,1,-0.0454,0.459
SEMA6D,4.1e-9,semaphorin 6D,+-,----,-+,0.17347978732433114,0.032196100386574666,-,0.0644,1.1911667314958354,0.006282678,17.3,1,-0.0454,0.459
ZDHHC5,3.47e-8,zinc finger DHHC-type containing 5,+-,----,+-,0.9849564249024159,0.03404163829369138,-,0.0681,1.166959551490193,0.141815918,18.3,1,-0.0454,0.459
FADS2,1.94e-8,fatty acid desaturase 2,+-,+---,--,0.9924964714676121,0.035191804732833176,-,0.0704,1.152528465110572,0.098074813,18.9,1,-0.0454,0.459
LST1,5.42e-9,leukocyte specific transcript 1,--,++++,-+,0.11472981528834268,0.03711568448309732,-,0.0742,1.1294125301655955,0.003058614,20,1,-0.0454,0.459
AREL1,3.04e-8,apoptosis resistant E3 ubiquitin protein ligase 1,++,----,+-,0.8915433056760833,0.03750714118104067,-,0.075,1.124856041134755,0.072541244,20.2,1,-0.0454,0.459
CHD6,1.38e-10,chromodomain helicase DNA binding protein 6,++,++++,+-,0.03957168458649308,0.8833012217202905,+,0.0791,1.1015854655421775,0.01774485,21.3,1,-0.0454,0.459
ZFHX4,5.27e-9,zinc finger homeobox 4,--,----,-+,0.6301859784287321,0.04118582969805519,-,0.0824,1.0842221849655087,0.025295412,22.2,1,-0.0454,0.459
BTN1A1,7.4e-9,butyrophilin subfamily 1 member A1,++,NA,Filtered_Out,0.04151480470214189,0.9584851952978581,+,0.083,1.0807670051209888,0.08302960940428378,22.3,1,-0.0454,0.459
CDH9,9.7e-7,cadherin 9,++,+-+-,++,0.041603169228127644,0.9720829375398101,+,0.0832,1.0798435889529823,0.028128689,22.4,1,-0.0454,0.459
PCDH9,3.53e-10,protocadherin 9,++,-+--,++,0.043175905347052915,0.28445704855358184,+,0.0864,1.063728551365615,0.03246236,23.2,1,-0.0454,0.459
RHOBTB1,1.57e-6,Rho related BTB domain containing 1,-+,++--,--,0.8572187537794471,0.04552141036080913,-,0.091,1.0407542952717574,0.003864981,24.5,1,-0.0454,0.459
C11orf31,5.11e-7,selenoprotein H,--,-++-,--,0.8961559298226005,0.045877532645089876,-,0.0918,1.0373699514153496,0.023441292,24.7,1,-0.0454,0.459
