gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
SAMD5,1.21e-8,sterile alpha motif domain containing 5,--,----,--,0.9934189394983604,0.001000646100820659,-,0.002,2.698689496923133,0.001158159,0.538,0.538,-4.59e-4,0.994
ZC3H7B,2.91e-8,zinc finger CCCH-type containing 7B,-+,--++,++,0.0011568226732127872,0.8244605434754491,+,0.00231,2.635703212322369,0.00588712,0.622,0.622,-4.59e-4,0.994
SPRY2,8.26e-7,sprouty RTK signaling antagonist 2,--,----,+-,0.9770711516124498,0.0014213016558985373,-,0.00284,2.5462837423207776,0.00653533,0.765,0.765,-4.59e-4,0.994
MANEA,1.88e-6,mannosidase endo-alpha,++,++--,--,0.0024906299219188957,0.04411039768173933,+,0.00498,2.3026608030173614,7.71466e-4,1.34,1,-4.59e-4,0.994
CELF2,7.52e-8,CUGBP Elav-like family member 2,++,----,--,0.5802910327636237,0.0027833065396407485,-,0.00557,2.2544089643177734,0.016642978,1.5,1,-4.59e-4,0.994
PSORS1C1,1.74e-8,psoriasis susceptibility 1 candidate 1,--,Missing_P_Values,Filtered_Out,0.9971805687088799,0.002819431291120115,-,0.00564,2.248808488937444,0.00563886258224023,1.52,1,-4.59e-4,0.994
YLPM1,3.52e-10,YLP motif containing 1,+-,---+,NA,0.9861580638312575,0.0028218255524853804,-,0.00564,2.2484398425203667,0.001039362,1.52,1,-4.59e-4,0.994
HIST1H2BO,9.65e-8,histone cluster 1 H2B family member o,--,NA,Filtered_Out,0.9969637775786614,0.003036222421338625,-,0.00607,2.2166364212951164,0.00607244484267725,1.63,1,-4.59e-4,0.994
PAX6,1.67e-9,paired box 6,++,----,--,0.930798047097533,0.0036203922738690174,-,0.00724,2.1402143749224964,0.002175936,1.95,1,-4.59e-4,0.994
KDM3A,1.76e-9,lysine demethylase 3A,+-,+---,NA,0.8716016801867932,0.005948015288857893,-,0.0119,1.9245979281683343,0.00748713,3.2,1,-4.59e-4,0.994
