gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
SAMD5,1.21e-8,sterile alpha motif domain containing 5,--,----,--,0.9996372450723511,1.9500693293770583e-4,-,3.9e-4,3.4089199525475236,0.001158159,0.105,0.105,-0.0227,0.711
SPRY2,8.26e-7,sprouty RTK signaling antagonist 2,+-,----,+-,0.9634117616524553,0.0012045928142910376,-,0.00241,2.618129736173098,0.00653533,0.648,0.648,-0.0227,0.711
HS6ST3,1.66e-8,heparan sulfate 6-O-sulfotransferase 3,++,-+++,+-,0.0023122569333217297,0.8714571497111946,+,0.00462,2.334933913980226,0.001631929,1.24,1,-0.0227,0.711
ITPR3,1.55e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,++++,Filtered_Out,0.0028661640546430445,0.9699661412627207,+,0.00573,2.241668959242207,0.00799503,1.54,1,-0.0227,0.711
HARS,2.1e-7,histidyl-tRNA synthetase,++,+-++,++,0.0033160863051967483,0.9952169869497736,+,0.00663,2.1783441792663027,0.0069317185113633535,1.78,1,-0.0227,0.711
MYRF,1.68e-8,myelin regulatory factor,--,-+--,--,0.9956495762188842,0.003850360872613343,-,0.0077,2.113468568947014,0.025741386,2.07,1,-0.0227,0.711
CKB,1.76e-8,creatine kinase B,++,++++,++,0.004594249385570127,0.9993200891503641,+,0.00919,2.0367554384144606,0.004117161,2.47,1,-0.0227,0.711
SLC4A9,2.66e-6,solute carrier family 4 member 9,--,-+--,Filtered_Out,0.9870592354475811,0.004955881010671887,-,0.00991,2.0038491337968374,0.020928616,2.67,1,-0.0227,0.711
BAZ2B,1.32e-7,bromodomain adjacent to zinc finger domain 2B,--,+-+-,--,0.9817378125957963,0.00545956170209799,-,0.0109,1.9618122257339934,0.013601592,2.94,1,-0.0227,0.711
CELF2,7.52e-8,CUGBP Elav-like family member 2,++,----,--,0.9463394445622237,0.006002046795829797,-,0.012,1.9206706271939644,0.016642978,3.23,1,-0.0227,0.711
HLA-DQB1,2.33e-7,"major histocompatibility complex, class II, DQ beta 1",--,----,NA,0.999297758966531,0.006504525315158159,-,0.013,1.8857543960640173,0.04883371533595394,3.5,1,-0.0227,0.711
UBE2M,8.89e-7,ubiquitin conjugating enzyme E2 M,++,-+++,-+,0.006716247271054048,0.888909540300768,+,0.0134,1.8718433272217898,0.001004996,3.61,1,-0.0227,0.711
ZC3H7B,2.91e-8,zinc finger CCCH-type containing 7B,++,--++,++,0.007570488020729066,0.9385169355881124,+,0.0151,1.8198461277582467,0.026963109,4.07,1,-0.0227,0.711
METTL9,1.74e-10,methyltransferase like 9,++,+++-,++,0.009218240563025818,0.9982403879308043,+,0.0184,1.734321966870859,0.023636704,4.96,1,-0.0227,0.711
CDH13,1.59e-11,cadherin 13,-+,--+-,+-,0.5569702946256534,0.011173295813582366,-,0.0223,1.6507887074490084,0.00394136,6.01,1,-0.0227,0.711
MANEA,1.88e-6,mannosidase endo-alpha,--,++--,--,0.21911649739404943,0.011370391656821426,-,0.0227,1.6431945799766188,0.001451269,6.12,1,-0.0227,0.711
MED19,1.75e-7,mediator complex subunit 19,++,++++,+-,0.011750927948744704,0.7298984732141773,+,0.0235,1.6288978409532255,0.010293157,6.32,1,-0.0227,0.711
YLPM1,3.52e-10,YLP motif containing 1,--,--+-,NA,0.8928346085468386,0.011903507318852712,-,0.0238,1.6232950610276613,0.001039362,6.4,1,-0.0227,0.711
OLFM4,1.7e-12,olfactomedin 4,++,++++,Filtered_Out,0.012038376913193179,0.9988788548275229,+,0.0241,1.6184020676767545,0.04493066573233237,6.48,1,-0.0227,0.711
CTTNBP2,1.26e-7,cortactin binding protein 2,--,+---,-+,0.7703721394365131,0.012163809973193758,-,0.0243,1.6139003774938154,0.040096248,6.54,1,-0.0227,0.711
