gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
SPRY2,8.26e-7,sprouty RTK signaling antagonist 2,--,----,--,0.9949149498427328,9.21401826044835e-4,-,0.00184,2.7345209357286593,0.00653533,0.496,0.496,0.0104,0.865
SAMD5,1.21e-8,sterile alpha motif domain containing 5,--,----,+-,0.9208525186439633,0.0012346738013848653,-,0.00247,2.6074177714131244,0.001158159,0.664,0.664,0.0104,0.865
MANEA,1.88e-6,mannosidase endo-alpha,++,++--,-+,0.001253742267422145,0.30518829420213156,+,0.00251,2.600761736852908,7.71466e-4,0.675,0.675,0.0104,0.865
PCNP,2.33e-7,PEST proteolytic signal containing nuclear protein,++,++++,-+,0.001654497754637392,0.5586783093448918,+,0.00331,2.4803038222322606,0.013082865,0.89,0.89,0.0104,0.865
ANKS1B,1.5e-6,ankyrin repeat and sterile alpha motif domain containing 1B,++,--+-,++,0.0016615032508380347,0.6415656462293498,+,0.00332,2.478468808995355,0.008015543,0.894,0.894,0.0104,0.865
TRAF3,3.17e-7,TNF receptor associated factor 3,-+,--+-,--,0.9968716716519653,0.0018193860583345055,-,0.00364,2.439045141877937,0.011555865,0.979,0.979,0.0104,0.865
RTN1,1.71e-8,reticulon 1,++,++++,-+,0.0019211108974483936,0.5371485335475059,+,0.00384,2.415417568802919,0.006195693,1.03,1,0.0104,0.865
UBE2M,8.89e-7,ubiquitin conjugating enzyme E2 M,--,+-++,-+,0.0021600363294875784,0.38684467054246535,+,0.00432,2.3645089487576327,0.001004996,1.16,1,0.0104,0.865
PSORS1C1,1.74e-8,psoriasis susceptibility 1 candidate 1,--,Missing_P_Values,Filtered_Out,0.9971805687088799,0.002819431291120115,-,0.00564,2.248808488937444,0.00563886258224023,1.52,1,0.0104,0.865
YLPM1,3.52e-10,YLP motif containing 1,+-,---+,NA,0.9861580638312575,0.0028218255524853804,-,0.00564,2.2484398425203667,0.001039362,1.52,1,0.0104,0.865
HIST1H2BO,9.65e-8,histone cluster 1 H2B family member o,--,NA,Filtered_Out,0.9969637775786614,0.003036222421338625,-,0.00607,2.2166364212951164,0.00607244484267725,1.63,1,0.0104,0.865
