gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CTNND1,7.75e-8,catenin delta 1,--,--++,--,0.9501786460262763,0.0010349027737926457,-,0.00207,2.6840704533727817,0.001687079,0.557,0.557,-0.0554,0.365
CKB,1.76e-8,creatine kinase B,++,+-++,--,0.0010976337341529671,0.43280340155198194,+,0.0022,2.658512558368248,1.82118e-5,0.591,0.591,-0.0554,0.365
ADCK3,1.43e-8,coenzyme Q8A,++,++-+,+-,0.0019113013229710837,0.891116481041372,+,0.00382,2.4176408439227717,0.010694757,1.03,1,-0.0554,0.365
ARHGEF25,1.9e-6,Rho guanine nucleotide exchange factor 25,++,+-++,NA,0.0021060502814279694,0.9798038729908091,+,0.00421,2.375501268689765,0.00242952,1.13,1,-0.0554,0.365
SAMD5,1.21e-8,sterile alpha motif domain containing 5,--,----,--,0.9998924559166017,0.0030333125756477042,-,0.00607,2.217052838705743,0.016736706372868716,1.63,1,-0.0554,0.365
ITPR3,1.55e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,+-++,Filtered_Out,0.003109702618827521,0.967745920008295,+,0.00622,2.2062511449482147,0.00799503,1.67,1,-0.0554,0.365
UBE2M,8.89e-7,ubiquitin conjugating enzyme E2 M,++,--++,+-,0.0038336268269279256,0.6155586644691694,+,0.00767,2.1153601688491936,4.9052e-5,2.06,1,-0.0554,0.365
TMEM106B,1.22e-12,transmembrane protein 106B,--,++--,-+,0.565829470174124,0.005326867969976419,-,0.0107,1.9724980717001068,2.16239e-4,2.87,1,-0.0554,0.365
ZNF638,1.83e-7,zinc finger protein 638,--,+++-,NA,0.8693291290081013,0.006189150686539849,-,0.0124,1.9073389477966887,0.001959458,3.33,1,-0.0554,0.365
SLC4A9,2.66e-6,solute carrier family 4 member 9,--,-+--,Filtered_Out,0.8247437414887087,0.006900330835589191,-,0.0138,1.8601000908992873,0.020928616,3.71,1,-0.0554,0.365
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",++,++++,++,0.0073237716296046616,0.9968339656107823,+,0.0146,1.8342352106982809,0.014556544,3.94,1,-0.0554,0.365
MANEA,1.88e-6,mannosidase endo-alpha,--,++--,-+,0.6626275042979616,0.00734444431496247,-,0.0147,1.833011061946281,0.002767965,3.95,1,-0.0554,0.365
SCYL1,6.11e-8,SCY1 like pseudokinase 1,++,++++,--,0.007493032367471356,0.7543401024257126,+,0.015,1.8243123957224576,0.001734011,4.03,1,-0.0554,0.365
SPRY2,8.26e-7,sprouty RTK signaling antagonist 2,+-,----,++,0.8397975288541271,0.007855823151838349,-,0.0157,1.8037783061667527,0.007577574,4.23,1,-0.0554,0.365
RSRC1,2.6e-14,arginine and serine rich coiled-coil 1,+-,+++-,++,0.009992937611419046,0.8807451553674696,+,0.02,1.6992768283332675,0.011802341,5.38,1,-0.0554,0.365
ZNF536,1.62e-6,zinc finger protein 536,--,-+--,-+,0.8934340848972888,0.010996345511889263,-,0.022,1.6577216271524453,0.012601684717793113,5.92,1,-0.0554,0.365
C11orf31,5.11e-7,selenoprotein H,++,-+++,+-,0.011653184135319872,0.5278468386567577,+,0.0233,1.6325253954155772,0.002668892,6.27,1,-0.0554,0.365
SEMA6D,4.1e-9,semaphorin 6D,-+,-+--,+-,0.3069675279956859,0.013531940317918944,-,0.0271,1.5676099306542783,0.00427009,7.28,1,-0.0554,0.365
OLFM4,1.7e-12,olfactomedin 4,++,+-++,Filtered_Out,0.013653707773329846,0.9955560818027246,+,0.0273,1.5637194008099926,0.04493066573233237,7.35,1,-0.0554,0.365
