gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CKB,1.76e-8,creatine kinase B,++,--++,--,3.4162899863321146e-4,0.4179471791186839,+,6.83e-4,3.1654152763592656,1.82118e-5,0.184,0.184,-0.084,0.17
CTNND1,7.75e-8,catenin delta 1,--,--+-,--,0.981109251158824,4.824798465718526e-4,-,9.65e-4,3.015490826978346,0.001687079,0.26,0.26,-0.084,0.17
ZNF638,1.83e-7,zinc finger protein 638,--,+---,NA,0.9956187158796943,6.360873801094037e-4,-,0.00127,2.895453225019849,0.001959458,0.342,0.342,-0.084,0.17
C16orf45,1.86e-9,BMERB Domain Containing 1,++,-+++,-+,7.890739917987897e-4,0.9573629103976617,+,0.00158,2.8018522752416133,9.58753e-4,0.425,0.425,-0.084,0.17
SAMD5,1.21e-8,sterile alpha motif domain containing 5,--,----,--,0.9998336015963533,0.0012023980024308488,-,0.0024,2.6189217582591464,0.00918046,0.647,0.647,-0.084,0.17
ARHGEF25,1.9e-6,Rho guanine nucleotide exchange factor 25,++,--++,NA,0.0018281155353459518,0.9239996642326205,+,0.00366,2.43696636502922,0.00242952,0.984,0.984,-0.084,0.17
MGAT4C,1.22e-6,MGAT4 family member C,-+,----,--,0.9279417340686544,0.0018882245439974443,-,0.00378,2.4229163658461794,0.002131326,1.02,1,-0.084,0.17
ZC3H7B,2.91e-8,zinc finger CCCH-type containing 7B,++,--++,++,0.002288589137451666,0.9175027414404858,+,0.00458,2.3394021720605784,0.002809492,1.23,1,-0.084,0.17
SCYL1,6.11e-8,SCY1 like pseudokinase 1,++,++++,--,0.002396233838996392,0.7633499772017441,+,0.00479,2.3194408074674717,0.001734011,1.29,1,-0.084,0.17
UBE2M,8.89e-7,ubiquitin conjugating enzyme E2 M,++,--++,+-,0.0026903062387183675,0.6667089060087302,+,0.00538,2.2691682855917343,4.9052e-5,1.45,1,-0.084,0.17
TMEM106B,1.22e-12,transmembrane protein 106B,--,++--,-+,0.3210824243597435,0.002842408743105981,-,0.00568,2.245283473984763,2.16239e-4,1.53,1,-0.084,0.17
KDM3A,1.76e-9,lysine demethylase 3A,-+,+---,NA,0.7839592029375626,0.0031112064034622172,-,0.00622,2.206041180333976,0.005746965,1.67,1,-0.084,0.17
