gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CTNND1,7.75e-8,catenin delta 1,++,--+-,--,0.9649329354295995,5.88045584064701e-4,-,0.00118,2.9295590113543786,0.001687079,0.316,0.316,-0.0454,0.458
KDM3A,1.76e-9,lysine demethylase 3A,+-,+---,NA,0.9552479384003654,0.0013492930382075505,-,0.0027,2.568863724748702,0.005746965,0.726,0.726,-0.0454,0.458
PSORS1C1,1.74e-8,psoriasis susceptibility 1 candidate 1,--,Missing_P_Values,Filtered_Out,0.9971805687088799,0.002819431291120115,-,0.00564,2.248808488937444,0.00563886258224023,1.52,1,-0.0454,0.458
MGAT4C,1.22e-6,MGAT4 family member C,++,----,--,0.5990406185470345,0.0029634478576207766,-,0.00593,2.227172714180517,0.002131326,1.59,1,-0.0454,0.458
HIST1H2BO,9.65e-8,histone cluster 1 H2B family member o,--,NA,Filtered_Out,0.9969637775786614,0.003036222421338625,-,0.00607,2.2166364212951164,0.00607244484267725,1.63,1,-0.0454,0.458
UBE2M,8.89e-7,ubiquitin conjugating enzyme E2 M,--,--++,+-,0.0038624482642493504,0.5411361916936046,+,0.00772,2.1121073290426753,4.9052e-5,2.08,1,-0.0454,0.458
CKB,1.76e-8,creatine kinase B,--,--++,--,0.003995215202745003,0.21403187974449062,+,0.00799,2.097429826731704,1.82118e-5,2.15,1,-0.0454,0.458
ZC3H7B,2.91e-8,zinc finger CCCH-type containing 7B,-+,--++,++,0.004081363374146679,0.7642544008412399,+,0.00816,2.0881647415006586,0.002809492,2.2,1,-0.0454,0.458
RSRC1,2.6e-14,arginine and serine rich coiled-coil 1,+-,++-+,++,0.004380656895343709,0.9488704842227669,+,0.00876,2.057430764920491,0.011802341,2.36,1,-0.0454,0.458
ZNF638,1.83e-7,zinc finger protein 638,+-,+---,NA,0.9571879976948937,0.00562518548559669,-,0.0113,1.9488331568338668,0.001959458,3.03,1,-0.0454,0.458
C16orf45,1.86e-9,BMERB Domain Containing 1,--,-+++,-+,0.007189647462143703,0.7102059041606287,+,0.0144,1.8422624086679178,9.58753e-4,3.87,1,-0.0454,0.458
ITPR3,1.55e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,--++,Filtered_Out,0.008651665642718322,0.6047224993280206,+,0.0173,1.7618702772407526,0.001833984,4.65,1,-0.0454,0.458
SPRY2,8.26e-7,sprouty RTK signaling antagonist 2,--,----,++,0.8677358689715955,0.009032660783565634,-,0.0181,1.7431543034794232,0.012800616,4.86,1,-0.0454,0.458
DENND1A,1.54e-14,DENN domain containing 1A,-+,--++,--,0.6903078064644228,0.009250115376544028,-,0.0185,1.7328228546149411,0.007451938,4.98,1,-0.0454,0.458
TMEM106B,1.22e-12,transmembrane protein 106B,++,++--,-+,0.13600030999005805,0.009633050087301883,-,0.0193,1.715206185918195,2.16239e-4,5.18,1,-0.0454,0.458
C11orf31,5.11e-7,selenoprotein H,--,+++-,+-,0.010066153401750948,0.5460815560340299,+,0.0201,1.6961064598538458,0.002668892,5.42,1,-0.0454,0.458
HIST1H2BF,3.58e-8,histone cluster 1 H2B family member f,-+,++++,Filtered_Out,0.011792870383988371,0.9570215885542704,+,0.0236,1.6273504791217965,0.01036763,6.34,1,-0.0454,0.458
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",--,++++,++,0.01503186741451457,0.8883731935094654,+,0.0301,1.5219570678315382,0.014556544,8.09,1,-0.0454,0.458
TRAF3,3.17e-7,TNF receptor associated factor 3,-+,--+-,+-,0.850976041069851,0.015568856123392528,-,0.0311,1.5067132991248584,0.011555865,8.38,1,-0.0454,0.458
SAMD5,1.21e-8,sterile alpha motif domain containing 5,--,----,--,0.9956230998117535,0.015870168361261122,-,0.0317,1.498388470273116,0.00918046,8.54,1,-0.0454,0.458
ARHGEF25,1.9e-6,Rho guanine nucleotide exchange factor 25,-+,--++,NA,0.01702378173546197,0.6914680139456623,+,0.034,1.4679139618420776,0.00242952,9.16,1,-0.0454,0.458
STAU1,1.34e-6,staufen double-stranded RNA binding protein 1,+-,++++,+-,0.017804910718150515,0.7632774735395935,+,0.0356,1.4484302040686152,0.004673783,9.58,1,-0.0454,0.458
SEMA6D,4.1e-9,semaphorin 6D,+-,+---,+-,0.282360189588278,0.018452345398587578,-,0.0369,1.432918429021039,0.00427009,9.93,1,-0.0454,0.458
HS6ST3,1.66e-8,heparan sulfate 6-O-sulfotransferase 3,++,-++-,--,0.32422837158785656,0.019591890846058762,-,0.0392,1.4068936518338166,4.72472e-4,10.5,1,-0.0454,0.458
MANEA,1.88e-6,mannosidase endo-alpha,++,++--,-+,0.02051653327771757,0.035242022522339406,+,0.041,1.3868660253597282,7.71466e-4,11,1,-0.0454,0.458
C1QTNF7,2.61e-6,C1q and TNF related 7,--,--+-,Filtered_Out,0.9469217698090434,0.02301606163226296,-,0.046,1.3369389925011999,0.035265047,12.4,1,-0.0454,0.458
INPP4B,3.71e-7,inositol polyphosphate-4-phosphatase type II B,++,----,-+,0.7775784481735601,0.023839616373984247,-,0.0477,1.321670741858519,0.05572147,12.8,1,-0.0454,0.458
VRK2,9.97e-9,VRK serine/threonine kinase 2,--,++-+,-+,0.19019503020542683,0.0256561472924202,-,0.0513,1.2897785641157558,0.026045818596663467,13.8,1,-0.0454,0.458
SCYL1,6.11e-8,SCY1 like pseudokinase 1,+-,++++,--,0.025788913756572544,0.6017484523768482,+,0.0516,1.2875369545385849,0.001734011,13.9,1,-0.0454,0.458
