gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CKB,1.76e-8,creatine kinase B,++,+-++,+-,5.793440051924153e-4,0.9349530638628663,+,0.00116,2.9360334869082405,1.82118e-5,0.312,0.312,-0.0163,0.791
KLC1,2.46e-10,kinesin light chain 1,++,++-+,++,8.34848624450558e-4,0.9934874968163655,+,0.00167,2.7773622684040564,0.003812079,0.449,0.449,-0.0163,0.791
UBE2M,8.89e-7,ubiquitin conjugating enzyme E2 M,++,--++,-+,0.0011649653280114758,0.4086556328669999,+,0.00233,2.63265700436228,4.9052e-5,0.627,0.627,-0.0163,0.791
ARHGEF25,1.9e-6,Rho guanine nucleotide exchange factor 25,++,+-++,NA,0.0021060502814279694,0.9798038729908091,+,0.00421,2.375501268689765,0.00242952,1.13,1,-0.0163,0.791
ITPR3,1.55e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,+-++,Filtered_Out,0.003109702618827521,0.967745920008295,+,0.00622,2.2062511449482147,0.00799503,1.67,1,-0.0163,0.791
SPRY2,8.26e-7,sprouty RTK signaling antagonist 2,+-,----,--,0.987725702279883,0.0034026131102843785,-,0.00681,2.1671574333244634,0.007577574,1.83,1,-0.0163,0.791
SCYL1,6.11e-8,SCY1 like pseudokinase 1,++,++++,+-,0.003860614359114168,0.6651197691578237,+,0.00772,2.1123135826843598,0.001734011,2.08,1,-0.0163,0.791
SAMD5,1.21e-8,sterile alpha motif domain containing 5,--,----,+-,0.9599002988614399,0.004364376271357852,-,0.00873,2.059047818439429,0.016736706372868716,2.35,1,-0.0163,0.791
ZC3H7B,2.91e-8,zinc finger CCCH-type containing 7B,++,--++,+-,0.005615567340670944,0.5885635582237932,+,0.0112,1.9495763647579911,0.0024309930000000002,3.02,1,-0.0163,0.791
RFTN2,5.41e-7,raftlin family member 2,--,++--,-+,0.4891601057126915,0.006140716412588006,-,0.0123,1.9107509628554935,0.03639445856167979,3.3,1,-0.0163,0.791
ZNF638,1.83e-7,zinc finger protein 638,--,+++-,NA,0.8693291290081013,0.006189150686539849,-,0.0124,1.9073389477966887,0.001959458,3.33,1,-0.0163,0.791
TRAF3,3.17e-7,TNF receptor associated factor 3,++,---+,--,0.9762903157927987,0.006201998789785557,-,0.0124,1.906438327179875,0.01238427,3.34,1,-0.0163,0.791
ZDHHC21,7.5e-9,zinc finger DHHC-type containing 21,++,----,--,0.8733274478951798,0.006336783979796102,-,0.0127,1.8971011020050996,0.014756273,3.41,1,-0.0163,0.791
SLC4A9,2.66e-6,solute carrier family 4 member 9,--,-+--,Filtered_Out,0.8247437414887087,0.006900330835589191,-,0.0138,1.8601000908992873,0.020928616,3.71,1,-0.0163,0.791
TMEM106B,1.22e-12,transmembrane protein 106B,--,++--,-+,0.2998518855046691,0.007010540395327291,-,0.014,1.8532185082433839,2.16239e-4,3.77,1,-0.0163,0.791
SEMA6D,4.1e-9,semaphorin 6D,-+,-+--,+-,0.8714646327896785,0.009439027705746802,-,0.0189,1.7240427434888357,0.00427009,5.08,1,-0.0163,0.791
MANEA,1.88e-6,mannosidase endo-alpha,--,++--,-+,0.519958976496299,0.00995219834069068,-,0.0199,1.7010509817029857,0.002767965,5.35,1,-0.0163,0.791
C16orf45,1.86e-9,BMERB Domain Containing 1,++,--++,++,0.010264543229261318,0.9860288086036763,+,0.0205,1.6876303762431466,9.58753e-4,5.52,1,-0.0163,0.791
SERPING1,2.45e-6,serpin family G member 1,++,--++,++,0.01115264873595664,0.9880044035133027,+,0.0223,1.6515919804676913,0.004084704530120423,6,1,-0.0163,0.791
RERE,1.43e-11,arginine-glutamic acid dipeptide repeats,++,--++,+-,0.011335600781221408,0.2797373498990262,+,0.0227,1.6445254618712808,6.1161e-4,6.1,1,-0.0163,0.791
ZMAT2,2.44e-6,zinc finger matrin-type 2,++,++++,-+,0.0122137907055355,0.7185652204689736,+,0.0244,1.6121195306452083,0.024694837,6.57,1,-0.0163,0.791
OLFM4,1.7e-12,olfactomedin 4,++,+-++,Filtered_Out,0.013653707773329846,0.9955560818027246,+,0.0273,1.5637194008099926,0.04493066573233237,7.35,1,-0.0163,0.791
C11orf31,5.11e-7,selenoprotein H,++,-+++,--,0.01398889935514756,0.3736757901563907,+,0.028,1.5531864587355495,0.002668892,7.53,1,-0.0163,0.791
HARS,2.1e-7,histidyl-tRNA synthetase,++,++++,+-,0.014446516060793784,0.21623050684362,+,0.0289,1.5392068795966032,0.005687828,7.77,1,-0.0163,0.791
CDH22,1.88e-7,cadherin 22,++,+-++,++,0.014871834397649992,0.9048758054373532,+,0.0297,1.5266054635449593,0.012128409,8,1,-0.0163,0.791
PPID,2.41e-6,peptidylprolyl isomerase D,-+,++++,-+,0.015317340185099755,0.7453758740860807,+,0.0306,1.513786646560451,0.003648034,8.24,1,-0.0163,0.791
HLA-DQB1,2.33e-7,"major histocompatibility complex, class II, DQ beta 1",--,-+--,NA,0.9910074548930697,0.016482914347990353,-,0.033,1.4819360024754735,0.04883371533595394,8.87,1,-0.0163,0.791
OR2B2,2.79e-12,olfactory receptor family 2 subfamily B member 2,++,NA,Filtered_Out,0.016804803053684415,0.9831951969463155,+,0.0336,1.4735365772775797,0.03360960610736883,9.04,1,-0.0163,0.791
ASXL3,2.06e-6,ASXL transcriptional regulator 3,--,--++,++,0.01711495624206927,0.3994529606011015,+,0.0342,1.4655942112245037,0.008650411,9.21,1,-0.0163,0.791
LST1,5.42e-9,leukocyte specific transcript 1,--,++++,-+,0.017328534256341094,0.3268067177752034,+,0.0347,1.4602081751076335,0.012599797,9.32,1,-0.0163,0.791
SGIP1,1.68e-9,SH3 domain GRB2 like endophilin interacting protein 1,--,----,-+,0.6530936256099813,0.018161908606087726,-,0.0363,1.4398085184363731,0.009448596,9.77,1,-0.0163,0.791
C3orf84,2.53e-7,chromosome 3 open reading frame 84,++,NA,NA,0.018326179304374246,0.9816738206956257,+,0.0367,1.4358980729244772,0.03665235860874849,9.86,1,-0.0163,0.791
HARS2,1.35e-6,"histidyl-tRNA synthetase 2, mitochondrial",++,++-+,+-,0.01901078151475789,0.9739497713983951,+,0.038,1.4199700336793908,0.03920618,10.2,1,-0.0163,0.791
ANKS1B,1.5e-6,ankyrin repeat and sterile alpha motif domain containing 1B,-+,--+-,++,0.02091605789922443,0.45072567043959344,+,0.0418,1.3784901689753566,0.008015543,11.3,1,-0.0163,0.791
MR1,6.25e-8,"major histocompatibility complex, class I-related",++,++--,++,0.02198082443531249,0.6717079421488692,+,0.044,1.3569260268494494,0.043640075,11.8,1,-0.0163,0.791
CAMKK2,1.88e-6,calcium/calmodulin dependent protein kinase kinase 2,++,--++,--,0.2156972242851841,0.022922920179189576,-,0.0458,1.3387000622045033,0.002338858,12.3,1,-0.0163,0.791
TCF4,4.55e-16,transcription factor 4,+-,---+,++,0.02376344428675231,0.56195292695488,+,0.0475,1.3230606165823415,0.01977294,12.8,1,-0.0163,0.791
AREL1,3.04e-8,apoptosis resistant E3 ubiquitin protein ligase 1,++,----,+-,0.5325625389067559,0.02400378272895961,-,0.048,1.3186903172551647,0.023507959,12.9,1,-0.0163,0.791
ACVR1B,5.28e-7,activin A receptor type 1B,++,---+,+-,0.024249068351317873,0.5157355978976993,+,0.0485,1.314274946661826,0.016928378850805628,13,1,-0.0163,0.791
PRSS16,6.41e-9,serine protease 16,++,Missing_P_Values,Filtered_Out,0.024250990784289425,0.9757490092157105,+,0.0485,1.3142405177540393,0.04850198156857885,13,1,-0.0163,0.791
ZNF165,1.95e-12,zinc finger protein 165,-+,-+++,Filtered_Out,0.024523934273421914,0.8916906613590122,+,0.049,1.3093798608315816,0.058737725,13.2,1,-0.0163,0.791
ADCK3,1.43e-8,coenzyme Q8A,++,++-+,--,0.026763375037868926,0.6175893340566938,+,0.0535,1.271429124392035,0.024491563,14.4,1,-0.0163,0.791
RTN1,1.71e-8,reticulon 1,++,+--+,-+,0.0268738376969951,0.46830296579264297,+,0.0537,1.2696403143964377,0.006195693,14.5,1,-0.0163,0.791
ZKSCAN4,7.51e-14,zinc finger with KRAB and SCAN domains 4,--,++++,-+,0.029577588239184615,0.41280555581935824,+,0.0592,1.2280072456662132,0.009869007,15.9,1,-0.0163,0.791
METTL9,1.74e-10,methyltransferase like 9,++,++++,++,0.030267504385253014,0.9967864761402598,+,0.0605,1.217993390330036,0.019618914,16.3,1,-0.0163,0.791
EXT1,1.2e-6,exostosin glycosyltransferase 1,-+,--++,++,0.030611144798086104,0.20756390126414853,+,0.0612,1.2130904326545682,0.015325053,16.5,1,-0.0163,0.791
CTTNBP2,1.26e-7,cortactin binding protein 2,--,++--,--,0.9767209433862853,0.03268698417392368,-,0.0654,1.1845951515758713,0.052893520764315326,17.6,1,-0.0163,0.791
MYBPC3,1.39e-6,"myosin binding protein C, cardiac",-+,NA,--,0.7766748265256967,0.03303225370606886,-,0.0661,1.1800317988335474,0.043225843,17.8,1,-0.0163,0.791
HLA-B,4.33e-11,"major histocompatibility complex, class I, B",++,++++,--,0.03544322462186944,0.21696537449578387,+,0.0709,1.1494367772446954,0.014556544,19.1,1,-0.0163,0.791
CHD6,1.38e-10,chromodomain helicase DNA binding protein 6,--,++++,++,0.03545310785329017,0.6430354640981412,+,0.0709,1.1493156924791694,0.039984082,19.1,1,-0.0163,0.791
TMEM258,5.55e-7,transmembrane protein 258,--,++++,--,0.37545829100427314,0.035753415809685975,-,0.0715,1.1456524645924342,0.023539607,19.2,1,-0.0163,0.791
RABEPK,1.56e-6,Rab9 effector protein with kelch motifs,++,-+++,-+,0.037598423258998724,0.29715987658615484,+,0.0752,1.1238003717560818,0.011639513,20.2,1,-0.0163,0.791
RBFOX1,6.09e-17,RNA binding fox-1 homolog 1,++,--++,--,0.46016654552392133,0.03924978829844845,-,0.0785,1.1051326857022277,0.027298127,21.1,1,-0.0163,0.791
PCDH9,3.53e-10,protocadherin 9,--,-+--,++,0.0461684762028362,0.09820130840816034,+,0.0923,1.0346244634998587,0.004988764,24.8,1,-0.0163,0.791
RANGAP1,3.07e-8,Ran GTPase activating protein 1,++,++++,--,0.0990894536192668,0.04871208504907565,-,0.0974,1.011333285030561,0.00819691,26.2,1,-0.0163,0.791
BCHE,2.39e-7,butyrylcholinesterase,--,++--,-+,0.6972604724784135,0.05064444333056959,-,0.101,0.994438202482868,0.02442773794076012,27.2,1,-0.0163,0.791
ZNF501,5.35e-7,zinc finger protein 501,--,-++-,Filtered_Out,0.9504883509933508,0.05079455125301646,-,0.102,0.9931528764549307,0.064347101,27.3,1,-0.0163,0.791
INPP4B,3.71e-7,inositol polyphosphate-4-phosphatase type II B,-+,--+-,--,0.9714820512461031,0.052272120352659594,-,0.105,0.9806998872728429,0.05572147,28.1,1,-0.0163,0.791
DLST,8.87e-10,dihydrolipoamide S-succinyltransferase,++,-++-,NA,0.05400929500513864,0.980547089043873,+,0.108,0.9665014959564423,0.07645849915039334,29.1,1,-0.0163,0.791
