gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CTNND1,7.75e-8,catenin delta 1,++,--+-,--,0.9702805940719211,3.715291063690373e-4,-,7.43e-4,3.1289771613664845,0.001687079,0.2,0.2,-0.021,0.732
ITPR3,1.55e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,+-++,Filtered_Out,0.0017563012698463443,0.6420554749273012,+,0.00351,2.4543709890021064,0.001833984,0.945,0.945,-0.021,0.732
PSORS1C1,1.74e-8,psoriasis susceptibility 1 candidate 1,--,Missing_P_Values,Filtered_Out,0.9971805687088799,0.002819431291120115,-,0.00564,2.248808488937444,0.00563886258224023,1.52,1,-0.021,0.732
SPRY2,8.26e-7,sprouty RTK signaling antagonist 2,--,----,++,0.8700344155588896,0.002835875198292728,-,0.00567,2.246282889914348,0.007577574,1.53,1,-0.021,0.732
HIST1H2BO,9.65e-8,histone cluster 1 H2B family member o,--,NA,Filtered_Out,0.9969637775786614,0.003036222421338625,-,0.00607,2.2166364212951164,0.00607244484267725,1.63,1,-0.021,0.732
RSRC1,2.6e-14,arginine and serine rich coiled-coil 1,+-,++++,++,0.004284944021446481,0.9508814769817213,+,0.00857,2.0670248516673966,0.011802341,2.31,1,-0.021,0.732
SAMD5,1.21e-8,sterile alpha motif domain containing 5,--,----,--,0.9957612237426522,0.009146706199830018,-,0.0183,1.737705274943971,0.00918046,4.92,1,-0.021,0.732
HLA-DQB1,2.33e-7,"major histocompatibility complex, class II, DQ beta 1",--,----,NA,0.9980689378197747,0.010031238017400594,-,0.0201,1.697615469027866,0.06263463126664132,5.4,1,-0.021,0.732
TRAF3,3.17e-7,TNF receptor associated factor 3,-+,----,+-,0.8684052440636824,0.01055293482347735,-,0.0211,1.6755967484566237,0.011555865,5.68,1,-0.021,0.732
SLC4A9,2.66e-6,solute carrier family 4 member 9,--,---+,Filtered_Out,0.9866241773142373,0.01378430078875041,-,0.0276,1.5595852630047775,0.020928616,7.42,1,-0.021,0.732
DENND1A,1.54e-14,DENN domain containing 1A,-+,--++,--,0.6410357770245028,0.015663066141164014,-,0.0313,1.504093222486091,0.007451938,8.43,1,-0.021,0.732
KDM3A,1.76e-9,lysine demethylase 3A,+-,+---,NA,0.9668272034173951,0.015795698651957502,-,0.0316,1.5004311645994672,0.00748713,8.5,1,-0.021,0.732
HS6ST3,1.66e-8,heparan sulfate 6-O-sulfotransferase 3,++,-++-,--,0.34980100612004383,0.018259830957017248,-,0.0365,1.4374732516620778,4.72472e-4,9.82,1,-0.021,0.732
BAG5,9.18e-7,BCL2 associated athanogene 5,+-,-+--,--,0.98377082241739,0.01869394002977676,-,0.0374,1.4272691591982596,0.018796161,10.1,1,-0.021,0.732
