gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_meta,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CTNND1,7.75e-8,catenin delta 1,++,--+-,--,0.9574711644398954,0.0010113520654847288,-,0.00202,2.6940676385759867,0.001687079,0.544,0.544,0.0666,0.276
SPRY2,8.26e-7,sprouty RTK signaling antagonist 2,--,----,++,0.8700776282126506,0.0012681760359270857,-,0.00254,2.595790462047891,0.00653533,0.682,0.682,0.0666,0.276
SAMD5,1.21e-8,sterile alpha motif domain containing 5,--,----,--,0.9958796292849348,0.0024334587537250354,-,0.00487,2.312746014833718,0.001158159,1.31,1,0.0666,0.276
PSORS1C1,1.74e-8,psoriasis susceptibility 1 candidate 1,--,Missing_P_Values,Filtered_Out,0.9971805687088799,0.002819431291120115,-,0.00564,2.248808488937444,0.00563886258224023,1.52,1,0.0666,0.276
HIST1H2BO,9.65e-8,histone cluster 1 H2B family member o,--,NA,Filtered_Out,0.9969637775786614,0.003036222421338625,-,0.00607,2.2166364212951164,0.00607244484267725,1.63,1,0.0666,0.276
RSRC1,2.6e-14,arginine and serine rich coiled-coil 1,+-,+++-,++,0.0041466919805117144,0.9458393651216755,+,0.00829,2.081268227504017,0.011802341,2.23,1,0.0666,0.276
ITPR3,1.55e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,++++,Filtered_Out,0.007647666012040493,0.6598742793066489,+,0.0153,1.815441091110741,0.00799503,4.11,1,0.0666,0.276
HLA-DQB1,2.33e-7,"major histocompatibility complex, class II, DQ beta 1",--,----,NA,0.9990151699338994,0.008087389811420157,-,0.0162,1.7911616277681577,0.06263463126664132,4.35,1,0.0666,0.276
UBE2M,8.89e-7,ubiquitin conjugating enzyme E2 M,--,-+++,+-,0.009809932047550849,0.5662271008889336,+,0.0196,1.7073040052614636,0.001004996,5.28,1,0.0666,0.276
SLC4A9,2.66e-6,solute carrier family 4 member 9,--,-+--,Filtered_Out,0.9776817312085465,0.01163987040888322,-,0.0233,1.633021859161343,0.020928616,6.26,1,0.0666,0.276
BAG5,9.18e-7,BCL2 associated athanogene 5,+-,-+--,--,0.9899197536237868,0.012647788820451408,-,0.0253,1.5969553987463312,0.018796161,6.8,1,0.0666,0.276
VRK2,9.97e-9,VRK serine/threonine kinase 2,--,++--,-+,0.4985528728206832,0.01319609059318792,-,0.0264,1.5785247159541826,0.026045818596663467,7.1,1,0.0666,0.276
YLPM1,3.52e-10,YLP motif containing 1,+-,--+-,NA,0.8859147079892773,0.01396119643046812,-,0.0279,1.5540473667877395,0.001039362,7.51,1,0.0666,0.276
CDH13,1.59e-11,cadherin 13,++,--+-,+-,0.762309987464049,0.018632388779204,-,0.0373,1.4287014668245606,0.00394136,10,1,0.0666,0.276
HS6ST3,1.66e-8,heparan sulfate 6-O-sulfotransferase 3,++,-+++,--,0.26195683220383603,0.02128287176766386,-,0.0426,1.37093977598077,4.72472e-4,11.5,1,0.0666,0.276
ERBB4,1.29e-13,erb-b2 receptor tyrosine kinase 4,++,++++,++,0.023731224385118162,0.9996821852158441,+,0.0475,1.3236498586183445,0.13902238412839296,12.8,1,0.0666,0.276
MYRF,1.68e-8,myelin regulatory factor,+-,-+--,-+,0.44629692218212,0.02394639505563197,-,0.0479,1.3197298613364068,0.006945037,12.9,1,0.0666,0.276
PCNP,2.33e-7,PEST proteolytic signal containing nuclear protein,++,++-+,-+,0.025797428893009032,0.5045464382829611,+,0.0516,1.2873935802805674,0.023876479,13.9,1,0.0666,0.276
PQLC2L,7.05e-9,PQ loop repeat containing 2 like,+-,----,Filtered_Out,0.851403758803066,0.027671049981217187,-,0.0553,1.2569443655276613,0.016788057,14.9,1,0.0666,0.276
HIST1H1B,9.97e-14,histone cluster 1 H1 family member b,+-,NA,Filtered_Out,0.9692760398083585,0.030723960191641534,-,0.0614,1.2114928106025498,0.06144792038328307,16.5,1,0.0666,0.276
RFWD2,7e-9,COP1 E3 ubiquitin ligase,+-,-+++,++,0.030729982933618272,0.9785164983436714,+,0.0615,1.2114076852718785,0.036901,16.5,1,0.0666,0.276
MED19,1.75e-7,mediator complex subunit 19,--,++++,-+,0.03127497708427411,0.873359159490225,+,0.0625,1.2037730041856516,0.010293157,16.8,1,0.0666,0.276
SOX5,3.79e-9,SRY-box 5,++,----,Filtered_Out,0.8691669568683889,0.03241032942763394,-,0.0648,1.1882865589910503,0.077126588,17.4,1,0.0666,0.276
ETFDH,1.44e-6,electron transfer flavoprotein dehydrogenase,++,+++-,+-,0.03270338949759283,0.4955172329775596,+,0.0654,1.184377237491801,0.007798596,17.6,1,0.0666,0.276
SF3B1,1.78e-8,splicing factor 3b subunit 1,++,+++-,++,0.03336863801346558,0.9627853667374274,+,0.0667,1.1756315236418993,0.034139419,18,1,0.0666,0.276
RBMS3,7.31e-7,RNA binding motif single stranded interacting protein 3,++,++++,Filtered_Out,0.037470979381993313,0.990599658502903,+,0.0749,1.1252749599041705,0.184531274,20.2,1,0.0666,0.276
DCDC1,7.46e-9,doublecortin domain containing 1,++,+++-,Filtered_Out,0.03909410468956063,0.9466240380388279,+,0.0782,1.1068587327157853,0.026863188,21,1,0.0666,0.276
DCDC5,2.49e-9,doublecortin domain containing 1,++,+++-,Filtered_Out,0.03909410468956063,0.9466240380388279,+,0.0782,1.1068587327157853,0.026863188,21,1,0.0666,0.276
ASXL3,2.06e-6,ASXL transcriptional regulator 3,++,--++,+-,0.03991232763312673,0.40520752448474917,+,0.0798,1.0978629483448863,0.008215908,21.5,1,0.0666,0.276
ZCCHC7,4.19e-12,zinc finger CCHC-type containing 7,+-,+-++,++,0.0405459347764489,0.9955144365273016,+,0.0811,1.091022686914852,0.138466948,21.8,1,0.0666,0.276
HSPA1A,8.13e-8,heat shock protein family A (Hsp70) member 1A,--,----,--,0.9857030024981333,0.04056111883202535,-,0.0811,1.0908600783294475,0.052021844,21.8,1,0.0666,0.276
CDH9,9.7e-7,cadherin 9,++,+-++,+-,0.04139786468213914,0.9690749094045266,+,0.0828,1.0819920637146458,0.028128689,22.3,1,0.0666,0.276
