gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CTNND1,7.753e-8,catenin delta 1,++,--+-,--,0.9649329354295995,5.88045584064701e-4,-,0.00118,0.001687079,0.316,0.316,-0.0344,0.575
KDM3A,1.7641e-9,lysine demethylase 3A,+-,+---,NA,0.9552479384003654,0.0013492930382075505,-,0.0027,0.005746965,0.726,0.726,-0.0344,0.575
PSORS1C1,1.7445e-8,psoriasis susceptibility 1 candidate 1,--,Missing_P_Values,Filtered_Out,0.9971805687088799,0.002819431291120115,-,0.00564,0.00563886258224023,1.52,1,-0.0344,0.575
MGAT4C,1.2237e-6,MGAT4 family member C,++,----,--,0.5990406185470345,0.0029634478576207766,-,0.00593,0.002131326,1.59,1,-0.0344,0.575
HIST1H2BO,9.6505e-8,NA,--,NA,Filtered_Out,0.9969637775786614,0.003036222421338625,-,0.00607,0.00607244484267725,1.63,1,-0.0344,0.575
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,--,--++,+-,0.0038624482642493504,0.5411361916936046,+,0.00772,4.9052e-5,2.08,1,-0.0344,0.575
CKB,1.7557e-8,creatine kinase B,--,--++,--,0.003995215202745003,0.21403187974449062,+,0.00799,1.82118e-5,2.15,1,-0.0344,0.575
ZC3H7B,2.9108e-8,zinc finger CCCH-type containing 7B,-+,--++,++,0.004081363374146679,0.7642544008412399,+,0.00816,0.002809492,2.2,1,-0.0344,0.575
RSRC1,2.5991e-14,arginine and serine rich coiled-coil 1,+-,++-+,++,0.004380656895343709,0.9488704842227669,+,0.00876,0.011802341,2.36,1,-0.0344,0.575
ZNF638,1.8282e-7,zinc finger protein 638,+-,+---,NA,0.9571879976948937,0.00562518548559669,-,0.0113,0.001959458,3.03,1,-0.0344,0.575
C16orf45,1.8617e-9,NA,--,-+++,-+,0.007189647462143703,0.7102059041606287,+,0.0144,9.58753e-4,3.87,1,-0.0344,0.575
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,--++,Filtered_Out,0.008651665642718322,0.6047224993280206,+,0.0173,0.001833984,4.65,1,-0.0344,0.575
